genre,nb_films_in_genre,nb_names_in_genre,nb_names_signi_in_genre,prop_names_signi_in_genre_per_total_film_in_genre,prop_signif_per_genre,is_na_sum,prop_non_signi,prop_nan,avg_slope_change_significant,se_slope_change_significant,avg_mag_slope_change_significant,se_mag_slope_change_significant,avg_slope_change_global
Action,31575.0,31575.0,2995.0,0.0948535233570863,0.0948535233570863,0.0,0.7633254156769597,0.14182106096595407,0.001634089006095873,0.00044145889141226235,0.013267599625506755,0.00037011326768372717,0.00016853212457903921
Action/Adventure,19502.0,19502.0,1942.0,0.09957953030458415,0.09957953030458415,0.0,0.7649984616962363,0.13542200799917958,0.0015182562644998146,0.0005425004640419084,0.013322542678804814,0.0004517208308252564,0.00015587342985611758
Adventure,18801.0,18801.0,1852.0,0.09850539864900804,0.09850539864900804,0.0,0.7441625445455029,0.15733205680548906,0.0011560423511704605,0.0005809813344598338,0.013427387587504063,0.0004907722011241694,5.126571428255504e-05
Animation,5771.0,5771.0,469.0,0.08126841102062034,0.08126841102062034,0.0,0.7345347426789118,0.18419684630046787,-0.0018312028809418482,0.0012251575483198003,0.012170517283988469,0.0010916397232447607,-0.000102776347032748
Biographical film,5117.0,5117.0,510.0,0.09966777408637874,0.09966777408637874,0.0,0.7785811999218292,0.12175102599179206,0.0030277534892723663,0.0009079781155711454,0.011695272738549159,0.0007574383390466829,0.0004970110075095297
Biography,4760.0,4760.0,472.0,0.09915966386554621,0.09915966386554621,0.0,0.7829831932773109,0.11785714285714285,0.0034135983915142996,0.0008261609361856786,0.011287400306242173,0.0006608951011626229,0.0005433595976107711
Biopic [feature],3013.0,3013.0,302.0,0.1002323265847992,0.1002323265847992,0.0,0.7912379688018586,0.10852970461334219,0.003421649482427785,0.0013678311877646844,0.014033212129245475,0.0011205365529875417,0.00038841317861451873
Black-and-white,8702.0,8702.0,741.0,0.0851528384279476,0.0851528384279476,0.0,0.7343139508159043,0.180533210756148,0.00045186228647779237,0.0016550046208248397,0.02609017613352933,0.0013488717543229092,-0.0002603336161849454
Bollywood,5398.0,5398.0,220.0,0.04075583549462764,0.04075583549462764,0.0,0.7830678028899593,0.1761763616154131,-0.00010829516814836643,0.0008537305807630703,0.006212180378795693,0.0007434339240561893,-4.892093648462052e-05
Comedy,54389.0,54389.0,5494.0,0.10101307249627682,0.10101307249627682,0.0,0.7887072753681811,0.11027965213554211,0.0023769971187963448,0.0003521678408984648,0.01351515712098374,0.0003029812794900258,0.00027209728418428944
Comedy film,6002.0,6002.0,601.0,0.10013328890369877,0.10013328890369877,0.0,0.7607464178607131,0.13912029323558814,0.0024366243085589554,0.0009960701391195704,0.0136931694015298,0.000830389148722329,0.0002638491556202238
Comedy-drama,8861.0,8861.0,988.0,0.11149983071888049,0.11149983071888049,0.0,0.8046495880826092,0.08385058119851033,0.0034524072352901535,0.0007284082824926305,0.013087162892492718,0.0006075565917407515,0.00041004543982152403
Coming of age,5018.0,5018.0,537.0,0.10701474691111997,0.10701474691111997,0.0,0.7965324830609805,0.09645277002789956,0.0007466673780783128,0.0010985703952628148,0.014135491319175932,0.0009138453105788227,0.00018920389087323788
Costume drama,3041.0,3041.0,258.0,0.08484051298914831,0.08484051298914831,0.0,0.7576455113449523,0.15751397566589936,0.00149352670784194,0.0016897885364010623,0.016046894701924403,0.0013645908638059783,0.00010051145612032315
Crime Drama,2160.0,2160.0,209.0,0.09675925925925925,0.09675925925925925,0.0,0.7902777777777777,0.11296296296296296,-1.6673481581419224e-06,0.001633842009345256,0.013408609340250326,0.0013435255328312968,-2.6280914852708305e-05
Crime Fiction,26149.0,26149.0,2636.0,0.1008069142223412,0.1008069142223412,0.0,0.7801445561971777,0.1190485295804811,0.0024613612941652855,0.0005329819633608937,0.01452512969238999,0.00045420354188145597,0.0002452537097951863
Crime Thriller,10569.0,10569.0,1174.0,0.11107957233418488,0.11107957233418488,0.0,0.7817201248935566,0.10720030277225849,0.0018357383845812596,0.0008041645708250375,0.014685264104747922,0.0006824241956387962,0.0002924140081020322
Cult,3970.0,3970.0,401.0,0.10100755667506298,0.10100755667506298,0.0,0.7624685138539042,0.13652392947103276,0.003806379958173594,0.0014442596269363484,0.014438618285694559,0.0012652758378959511,0.00031475750248549905
