genre,nb_films_in_genre,nb_names_in_genre,nb_names_signi_in_genre,prop_names_signi_in_genre_per_total_film_in_genre,is_na_sum,prop_signif_per_genre,prop_non_signi,prop_nan,avg_slope_change_significant,se_slope_change_significant,avg_mag_slope_change_significant,se_mag_slope_change_significant,avg_slope_change_global
Action,34780.0,31575.0,2995.0,0.08611270845313398,3205.0,0.08611270845313398,0.6929844738355376,0.22090281771132836,0.001634089006095873,0.00044145889141226235,0.013267599625506755,0.00037011326768372717,0.00016853212457903921
Action/Adventure,21112.0,19502.0,1942.0,0.09198560060629025,1610.0,0.09198560060629025,0.706659719590754,0.20135467980295566,0.0015182562644998146,0.0005425004640419084,0.013322542678804814,0.0004517208308252564,0.00015587342985611756
Adventure,20830.0,18801.0,1852.0,0.08891022563610178,2029.0,0.08891022563610178,0.671675468074892,0.23941430628900623,0.0011560423511704605,0.0005809813344598338,0.013427387587504063,0.0004907722011241694,5.126571428255504e-05
Animation,7507.0,5771.0,469.0,0.06247502331157586,1736.0,0.06247502331157586,0.5646729718929,0.37285200479552416,-0.0018312028809418482,0.0012251575483198003,0.012170517283988469,0.0010916397232447607,-0.00010277634703274804
Biographical film,5589.0,5117.0,510.0,0.09125067096081589,472.0,0.09125067096081589,0.7128287707997852,0.19592055823939883,0.0030277534892723663,0.0009079781155711454,0.011695272738549159,0.0007574383390466829,0.0004970110075095297
Biography,5548.0,4760.0,472.0,0.08507570295602018,788.0,0.08507570295602018,0.671773612112473,0.24315068493150685,0.0034135983915142996,0.0008261609361856786,0.011287400306242173,0.0006608951011626229,0.0005433595976107711
Biopic [feature],3223.0,3013.0,302.0,0.09370152032268073,210.0,0.09370152032268073,0.7396835246664598,0.16661495501085946,0.003421649482427785,0.0013678311877646844,0.014033212129245475,0.0011205365529875417,0.00038841317861451873
Black-and-white,13750.0,8702.0,741.0,0.053890909090909093,5048.0,0.053890909090909093,0.4647272727272727,0.4813818181818182,0.00045186228647779237,0.0016550046208248397,0.02609017613352933,0.0013488717543229092,-0.0002603336161849455
Bollywood,5525.0,5398.0,220.0,0.039819004524886875,127.0,0.039819004524886875,0.7650678733031674,0.1951131221719457,-0.00010829516814836643,0.0008537305807630703,0.006212180378795693,0.0007434339240561893,-4.892093648462052e-05
Comedy,61018.0,54389.0,5494.0,0.09003900488380479,6629.0,0.09003900488380479,0.7030220590645383,0.2069389360516569,0.0023769971187963448,0.0003521678408984648,0.01351515712098374,0.0003029812794900258,0.00027209728418428944
Comedy film,8318.0,6002.0,601.0,0.07225294541957201,2316.0,0.07225294541957201,0.5489300312575138,0.37881702332291417,0.0024366243085589554,0.0009960701391195704,0.0136931694015298,0.000830389148722329,0.0002638491556202239
Comedy-drama,9403.0,8861.0,988.0,0.10507284909071572,542.0,0.10507284909071572,0.7582686376688291,0.13665851324045517,0.0034524072352901535,0.0007284082824926305,0.013087162892492718,0.0006075565917407515,0.00041004543982152403
Coming of age,5268.0,5018.0,537.0,0.10193621867881549,250.0,0.10193621867881549,0.7587319665907365,0.13933181473044798,0.0007466673780783128,0.0010985703952628148,0.014135491319175932,0.0009138453105788227,0.0001892038908732379
Costume drama,3124.0,3041.0,258.0,0.08258642765685019,83.0,0.08258642765685019,0.737516005121639,0.17989756722151087,0.00149352670784194,0.0016897885364010623,0.016046894701924403,0.0013645908638059783,0.00010051145612032308
Crime Drama,2382.0,2160.0,209.0,0.08774139378673383,222.0,0.08774139378673383,0.716624685138539,0.19563392107472713,-1.6673481581419224e-06,0.001633842009345256,0.013408609340250326,0.0013435255328312968,-2.628091485270829e-05
Crime Fiction,28896.0,26149.0,2636.0,0.09122369878183832,2747.0,0.09122369878183832,0.7059800664451827,0.20279623477297895,0.0024613612941652855,0.0005329819633608937,0.01452512969238999,0.00045420354188145597,0.0002452537097951863
Crime Thriller,11157.0,10569.0,1174.0,0.10522541901944968,588.0,0.10522541901944968,0.7405216456036569,0.15425293537689344,0.0018357383845812596,0.0008041645708250375,0.014685264104747922,0.0006824241956387962,0.0002924140081020322
Cult,4233.0,3970.0,401.0,0.09473186865107489,263.0,0.09473186865107489,0.7150956768249468,0.19017245452397827,0.003806379958173594,0.0014442596269363484,0.014438618285694559,0.0012652758378959511,0.0003147575024854991
Detective,1880.0,1711.0,160.0,0.0851063829787234,169.0,0.0851063829787234,0.6925531914893617,0.22234042553191488,0.0015212997085320736,0.0029864729317067456,0.021081192530349367,0.0024776002099064615,2.9342364058447164e-05
Drama,110958.0,96748.0,9552.0,0.08608662737251933,14210.0,0.08608662737251933,0.6777609545954325,0.23615241803204817,0.0020865561734055185,0.00025651150724032083,0.013671972693284316,0.00021606242044160982,0.00017347724335431435
Family Drama,4715.0,4386.0,454.0,0.09628844114528101,329.0,0.09628844114528101,0.7406150583244963,0.1630965005302227,0.0006936347384070613,0.0013812741714785677,0.01510469022564091,0.001185467995537827,0.0001209362026506161
Family Film,16057.0,14269.0,1306.0,0.08133524319611385,1788.0,0.08133524319611385,0.6790184966058417,0.23964626019804447,-0.0003630715083406533,0.0006873376799503522,0.012831429532189808,0.0005885311377781221,-1.0602994427073618e-05
Fantasy,13176.0,12113.0,1187.0,0.09008803885853066,1063.0,0.09008803885853066,0.6867030965391621,0.22320886460230724,0.0016846722388370171,0.0005921972122801213,0.011283866459056534,0.0004957149933810501,0.00017776962920487167
Film adaptation,9953.0,9682.0,1034.0,0.10388827489199236,271.0,0.10388827489199236,0.7552496734652868,0.14086205164272078,0.0034993135969612747,0.0007464110034210187,0.013302051481414591,0.000630627829733692,0.0004013243045777568
Horror,17832.0,15360.0,1782.0,0.09993270524899057,2472.0,0.09993270524899057,0.66919021982952,0.23087707492148946,0.0029888133218765323,0.0006530035770243996,0.01470390963892597,0.0005568070901286302,0.0003353307260967119
Indie,21160.0,18280.0,2059.0,0.0973062381852552,2880.0,0.0973062381852552,0.6820888468809073,0.22060491493383744,0.002402569252711246,0.0004315155397895815,0.011598783390386927,0.00035162527912400944,0.0003252130515961304
Melodrama,2154.0,1834.0,194.0,0.09006499535747446,320.0,0.09006499535747446,0.6736304549675023,0.2363045496750232,0.0015845562898726775,0.0019771820269884853,0.01591127927271883,0.00161570501901644,-0.0003015634078297493
Musical,13536.0,11843.0,940.0,0.06944444444444445,1693.0,0.06944444444444445,0.6716903073286052,0.25886524822695034,0.002106990360731132,0.0008647191559332083,0.014092400796775872,0.0007355065879082376,6.357747327526637e-05
Mystery,15702.0,14546.0,1493.0,0.09508342886256528,1156.0,0.09508342886256528,0.7215004458030824,0.1834161253343523,0.0012133392150346252,0.000726146515455968,0.015495199751790383,0.0006060938361765784,0.00011920942176099274
Parody,5152.0,4813.0,459.0,0.0890916149068323,339.0,0.0890916149068323,0.7249611801242236,0.1859472049689441,0.0016378637031062124,0.0010033667786860285,0.012161873690621088,0.0008304528498938568,0.00013631352178378653
Period piece,11391.0,10987.0,1075.0,0.09437275041699587,404.0,0.09437275041699587,0.7524361337898341,0.15319111579317005,0.0019188577070177082,0.0006057693709480583,0.011446272215772506,0.0004983923701992857,0.00025864387756603066
Political drama,3834.0,3504.0,354.0,0.09233176838810642,330.0,0.09233176838810642,0.7175273865414711,0.19014084507042253,0.00160089067863535,0.0012557521174682423,0.012635061262606,0.0010639182767780303,0.00022504215978233995
Psychological thriller,6816.0,6445.0,792.0,0.11619718309859155,371.0,0.11619718309859155,0.7363556338028169,0.14744718309859156,0.0012334713927090947,0.0010297323899543724,0.01564456149683028,0.0008676697974516572,0.00011759150768046413
Romance Film,41285.0,37858.0,3941.0,0.09545839893423762,3427.0,0.09545839893423762,0.7211820273707158,0.18335957369504663,0.002036911844553626,0.0004442054589014878,0.014012424984622966,0.0003854049901688062,0.0002740327086148228
Romantic comedy,14105.0,13404.0,1565.0,0.1109535625664658,701.0,0.1109535625664658,0.7598014888337469,0.1292449485997873,0.0023812172517697007,0.0007240995849528395,0.01396109433364143,0.0006350759904649157,0.0004064866277461644
Romantic drama,14461.0,13467.0,1365.0,0.09439181246110227,994.0,0.09439181246110227,0.7325911071156905,0.17301708042320724,0.002337112377651362,0.0006163943353415594,0.01221783481331472,0.0005239340966137639,0.00020656525915484656
Satire,3149.0,2854.0,269.0,0.08542394410924103,295.0,0.08542394410924103,0.7129247380120673,0.20165131787869164,0.002647350071036708,0.0014215210466984878,0.012814463791757132,0.0011975589276495729,0.0002407105396530016
Science Fiction,13396.0,12182.0,1217.0,0.0908480143326366,1214.0,0.0908480143326366,0.6896834876082413,0.21946849805912214,0.0032429966855655325,0.0006450255252445222,0.012458126661832778,0.0005450423603559331,0.00029540002099750747
Short Film,7498.0,3350.0,240.0,0.03200853560949587,4148.0,0.03200853560949587,0.32608695652173914,0.641904507868765,-0.0005864686930404833,0.0021772178800089944,0.01764134682427334,0.0018546032262892014,-4.683228231194271e-05
Sports,5112.0,4657.0,457.0,0.08939749608763693,455.0,0.08939749608763693,0.7300469483568075,0.18055555555555555,0.0009962438251471238,0.0011085535543453858,0.01253194874470357,0.00094162635832028,0.00012064345259320948
Spy,2105.0,1905.0,177.0,0.0840855106888361,200.0,0.0840855106888361,0.6888361045130641,0.22707838479809977,0.0008046048233027139,0.002097853496213863,0.01658573903842627,0.001685726786859051,-4.592300190409358e-05
Suspense,4469.0,4320.0,554.0,0.1239650928619378,149.0,0.1239650928619378,0.7373014097113448,0.1387334974267174,-0.0019278786960192724,0.0013983592334854786,0.01713007845994759,0.0011964519987597952,-0.0002505036194946515
Thriller,42946.0,40136.0,4340.0,0.10105714152656825,2810.0,0.10105714152656825,0.7278209844921529,0.17112187398127882,0.002016489915180173,0.0003685395306378545,0.013491536903745655,0.00030790973012060453,0.0002129813188523435
War film,8687.0,7340.0,652.0,0.07505467940600898,1347.0,0.07505467940600898,0.6319788189248302,0.29296650166916083,0.0016643632772231347,0.0011208629115448216,0.0152136250465847,0.0009513422766802498,4.4725967404448835e-05
Western,6028.0,4999.0,501.0,0.08311214333112144,1029.0,0.08311214333112144,0.6176177836761778,0.29927007299270075,-0.0006455840280018804,0.001661622618522104,0.02006287379397223,0.0013988514839370764,-0.00028596797005403605
World cinema,19067.0,15344.0,945.0,0.04956207059317145,3723.0,0.04956207059317145,0.6313525987307914,0.3190853306760371,0.0007957833478612027,0.0006395970256831727,0.009444599422350482,0.0005614830206468401,-4.9973653877149424e-05
