genre,year,prop_signif_per_genre_per_year,avg_slope_change_significant,se_slope_change_significant,avg_mag_slope_change_significant,se_slope_change_magnitude_significant,avg_slope_change_global
Action,1888,0.0,0.0,0.0,0.0,0.0,0.0
Action,1889,0.0,0.0,0.0,0.0,0.0,0.0
Action,1890,0.0,0.0,0.0,0.0,0.0,0.0
Action,1891,0.0,0.0,0.0,0.0,0.0,0.0
Action,1892,0.0,0.0,0.0,0.0,0.0,0.0
Action,1893,0.0,0.0,0.0,0.0,0.0,0.0
Action,1894,0.0,0.0,0.0,0.0,0.0,0.0
Action,1895,0.0,0.0,0.0,0.0,0.0,0.0
Action,1896,0.0,0.0,0.0,0.0,0.0,0.0
Action,1897,0.0,0.0,0.0,0.0,0.0,0.0
Action,1898,0.0,0.0,0.0,0.0,0.0,0.0
Action,1899,0.0,0.0,0.0,0.0,0.0,0.0
Action,1900,0.0,0.0,0.0,0.0,0.0,0.0
Action,1901,0.0,0.0,0.0,0.0,0.0,0.0
Action,1902,0.0,0.0,0.0,0.0,0.0,0.0
Action,1903,0.0,0.0,0.0,0.0,0.0,0.0
Action,1904,0.0,0.0,0.0,0.0,0.0,0.0
Action,1905,0.0,0.0,0.0,0.0,0.0,0.0
Action,1906,0.0,0.0,0.0,0.0,0.0,0.0
Action,1907,0.0,0.0,0.0,0.0,0.0,0.0
Action,1908,0.125,0.0988003264876959,0.0,0.0988003264876959,0.0,0.0030796236664359824
Action,1909,0.0,0.0,0.0,0.0,0.0,0.0
Action,1910,0.0,0.0,0.0,0.0,0.0,0.0
Action,1911,0.0,0.0,0.0,0.0,0.0,0.0
Action,1912,0.0,0.0,0.0,0.0,0.0,0.00012834426185860895
Action,1913,0.0,0.0,0.0,0.0,0.0,0.006995123413022907
Action,1914,0.0,0.0,0.0,0.0,0.0,0.0
Action,1915,0.0,0.0,0.0,0.0,0.0,-0.0019956876257444067
Action,1916,0.0,0.0,0.0,0.0,0.0,-0.0029262898349302416
Action,1917,0.0,0.0,0.0,0.0,0.0,0.0
Action,1918,0.0,0.0,0.0,0.0,0.0,0.0
Action,1919,0.0,0.0,0.0,0.0,0.0,0.0
Action,1920,0.0,0.0,0.0,0.0,0.0,0.0
Action,1921,0.0,0.0,0.0,0.0,0.0,0.0
Action,1922,0.0,0.0,0.0,0.0,0.0,0.0014649440528325
Action,1923,0.0,0.0,0.0,0.0,0.0,0.0
Action,1924,0.08333333333333333,-0.00154132683621965,0.01066200440349495,0.01066200440349495,0.00154132683621965,-0.0004503503062525982
Action,1925,0.0,0.0,0.0,0.0,0.0,0.00030066286252167636
Action,1926,0.08888888888888889,0.0011419997333544738,0.011334728456023062,0.017927757582885576,0.004666471863396281,-0.00028609233056008
Action,1927,0.02702702702702703,0.0491037085039954,0.0,0.0491037085039954,0.0,-0.0009141933702673242
Action,1928,0.0,0.0,0.0,0.0,0.0,0.00017402911746881435
Action,1929,0.044444444444444446,0.0052800566961568995,0.0036427348035034993,0.0052800566961568995,0.0036427348035034993,-0.0004155462803122956
Action,1930,0.0547945205479452,-0.021419677331420972,0.013795263360605376,0.027363503830571526,0.009677622102249954,-0.0012072525586465334
Action,1931,0.05,0.0016891125164587,0.0,0.0016891125164587,0.0,0.00054248405598135
Action,1932,0.08571428571428572,0.015545045032917168,0.010786132083280843,0.025301447382212666,0.006052906938495716,0.002595642366959364
Action,1933,0.05263157894736842,-0.0485917024132927,0.03662282815895388,0.0500574279043587,0.03595878233988985,-0.002671391926853705
Action,1934,0.0784313725490196,-0.035013990226266986,0.025106459853143824,0.04553051695653476,0.022568283122681197,-0.002261459655802288
Action,1935,0.11274509803921569,-0.002200167874076185,0.009286361783830898,0.029655396175661076,0.006817762730554358,-0.0014633851179754957
Action,1936,0.08673469387755102,0.009853532112313107,0.0060984173247637325,0.020979322706005027,0.003968715281402021,0.00016552845991025408
Action,1937,0.10256410256410256,0.007996158707053669,0.008374527325499752,0.02699955712624618,0.0050790621702442255,0.0014712489014986191
Action,1938,0.12389380530973451,7.455023768053534e-05,0.0054910009152516134,0.013997709614997232,0.0038832368233311493,-0.000766915978555421
Action,1939,0.0736196319018405,0.008584086361085918,0.010332996592530364,0.027297158703778718,0.006762400526903983,-0.00035844183379782823
Action,1940,0.044444444444444446,0.013963912861979585,0.02257428957591344,0.03603509940936448,0.016996795122964498,0.0010624269297234768
Action,1941,0.07462686567164178,-8.732549922265826e-05,0.023224074432785832,0.03920362692357569,0.012455057153805143,-0.0006063762014465044
Action,1942,0.04782608695652174,0.01184063446352231,0.003215566483066233,0.01322478774741489,0.0026211503506049904,0.0003814221332421997
Action,1943,0.05785123966942149,-0.011623831231652157,0.013440844805149354,0.023806583759754068,0.010426711503380854,-0.0011193238930682669
Action,1944,0.0375,-0.010110265450485502,6.37642364425996e-05,0.010110265450485502,6.37642364425996e-05,-0.0013313402172844204
Action,1945,0.028985507246376812,-0.01235429688659525,0.0060347191504598495,0.01235429688659525,0.0060347191504598495,-0.0006573288506202285
Action,1946,0.058823529411764705,-0.04485286698051465,0.03082133029019715,0.04485286698051465,0.03082133029019715,-0.004274520456411282
Action,1947,0.02,-0.0802225716905654,0.0,0.0802225716905654,0.0,-0.006982086398310683
Action,1948,0.05319148936170213,0.01490784762434968,0.018028477252869553,0.029141138164984835,0.012972489694243661,-6.03064799741345e-05
Action,1949,0.0784313725490196,-0.020828876237945278,0.0312795442022539,0.050564333277724915,0.016455191095994273,-0.002755469229818291
Action,1950,0.07042253521126761,0.005214951057126879,0.008264684691922784,0.01307371032459532,0.005689768560855742,0.002056548923644683
Action,1951,0.03773584905660377,0.0038737085553588,0.006191437108065641,0.01048249733057295,0.0025900159636437,-0.00027615949959167277
