wiki_ID,mov_name,year,month,revenue,numVotes,averageRating
975900,Ghosts of Mars,2001,8,14010832.0,56880,4.9
3196793,Getting Away with Murder: The JonBenét Ramsey Mystery,2000,2,,69,6.0
28463795,Brun bitter,1988,,,40,5.6
9363483,White Of The Eye,1987,,,2891,6.1
261236,A Woman in Flames,1983,,,623,5.9
13696889,The Gangsters,1913,5,,16,6.8
10408933,Alexander's Ragtime Band,1938,8,3600000.0,2267,6.8
2345652,City of the Dead,1960,,,8272,6.7
175026,Sarah and Son,1930,,,299,5.4
24229100,Lady Snowblood 2: Love Song of Vengeance,1974,,,4076,6.3
6631279,Little city,1997,4,,1129,5.8
171005,Henry V,1989,11,10161099.0,31183,7.5
18296435,Aaah Belinda,1986,,,3465,7.8
30388930,1919,1984,,,111,6.2
77856,Mary Poppins,1964,8,102272727.0,181653,7.8
32456683,Die Fahne von Kriwoj Rog,1967,,,23,7.6
33420460,Keep the Change,1992,,,96,5.7
175024,The Devil's Holiday,1930,,,238,6.0
612710,New Rose Hotel,1999,10,21521.0,5963,5.1
21926710,White on Rice,2009,,,545,6.1
33427105,Freddy and the Song of the South Pacific,1962,9,,50,5.3
31983669,Road to Life,1931,9,,456,6.9
17715326,Camera Thrills,1935,9,,14,6.3
22087420,"Ferdinando I, re di Napoli",1959,12,,187,6.4
21344842,Middle Age Spread,1979,,,37,6.0
156558,Baby Boy,2001,6,29381649.0,16020,6.4
11448183,Bindiya Chamkegi,1984,1,,24,4.9
9633533,Vandanam,1989,,,1260,7.9
31323091,Emilia Galotti,1958,,,25,5.2
27611999,Special Effects,1984,,,1202,5.3
29528534,Anokha Rishta,1986,,,61,7.2
1364293,They Knew What They Wanted,1940,,932000.0,479,6.1
29772142,Karayilekku Oru Kadal Dooram,2010,12,,17,6.6
26067101,Siam Sunset,1999,,,1240,6.4
9912533,Cuando los duendes cazan perdices,1955,,,36,7.2
9548445,Archie: To Riverdale and Back Again,1990,5,,493,5.3
26878691,Mysterious Island,1982,,,195,5.4
2314463,Electric Apricot: Quest For Festeroo,2006,,,673,6.6
2487170,Troops,1997,,,2625,7.7
25960460,Daddy and Them,2001,,,2510,5.6
261237,The Gods Must Be Crazy,1980,,34331783.0,58562,7.3
14631844,Joan the Woman,1917,1,,626,6.4
14301436,Follow the Crowd,1918,4,,51,5.6
12008535,Rudo y Cursi,2008,,11091868.0,9237,6.7
4951456,Kinjite: Forbidden Subjects,1989,,3416846.0,3698,5.5
36009421,Jay Vejay,1977,11,,30,5.6
13281430,My Name is Fame,2006,,,469,7.0
11633165,Innocence,1997,,,18980,8.1
21449578,Hamsun,1996,4,,1676,7.2
5708633,The Great New Wonderful,2006,6,172055.0,1551,5.6
12053509,Loverboy,1989,4,3960327.0,8596,6.0
3645672,I Fidanzati,1962,,,2259,7.6
29198000,Chandra Mukhi,1993,10,,869,3.9
1369204,Juarez,1939,,,2516,6.9
21235485,Mesmerized,1986,12,,994,4.7
12371532,Chasing Ghosts: Beyond the Arcade,2007,,,1430,7.0
24399617,Bruce Lee: The Lost Interview,1994,11,,123,8.6
32104837,It Came Upon the Midnight Clear,1984,12,,635,7.5
20334086,Vipers,2008,9,,1435,3.3
5915856,Ivar,2003,10,,69,4.6
2647998,The Human Tornado,1976,,,1897,6.1
1254263,Shivers,1975,10,,23042,6.3
20944359,Adventurer's Fate,1958,,,53,7.4
11353896,Zindagi,1976,,,36,6.9
24761154,My Friend Ganesha,2007,7,,263,5.0
31304361,The Tango Player,1991,2,,38,6.2
273431,Terrorama,2001,,,78,7.0
16686643,One Small Step: The Story of the Space Chimps,1995,,,13,7.8
7364373,The Covered Wagon,1923,,3500000.0,731,6.6
11996174,Aaj Ka Andha Kanoon,2003,6,,20,3.6
7028314,The Little Hut,1957,5,3600000.0,1003,5.6
31156641,Nariman,2001,,,202,5.4
32224700,A Romance of Wastdale,1921,,,10,6.2
19929835,Aftershock: Beyond the Civil War,2007,,,103,7.4
25413122,Drums in the Deep South,1951,,,408,5.8
5664529,Vixen!,1968,,,3050,5.6
29832307,The Thirteen Chairs,1969,,,657,5.8
24039457,ZA: Zombies Anonymous,2005,,,727,4.7
5894429,Closing the Ring,2007,9,,4821,6.5
12788657,The Boston Strangler,1968,,17810894.0,10508,7.1
27556929,Deadly Voyage,1996,,,669,6.6
4300418,The Hero: Love Story of a Spy,2003,4,,2562,5.5
30246289,33 Scenes from Life,2008,8,,1027,6.2
9390791,Hermanas,2005,,,311,6.6
29375144,The High Cost of Living,2011,4,,2165,6.7
24196090,The World of Geisha,1973,11,,168,5.5
28028248,The House That Drips Blood on Alex,2010,10,,815,4.4
8669450,One Six Right,2005,11,,457,7.9
10419077,Raampur Ka Lakshman,1972,,,83,6.3
2154704,Choke Canyon,1986,5,,309,5.2
28301986,Dig That Uranium,1956,1,,313,6.1
33059372,ChromeSkull: Laid to Rest 2,2011,9,,4036,5.0
3740032,Desperate,1947,5,,2540,6.8
2659373,The Iron Maiden,1963,6,,555,6.3
17683792,Mighty Times: The Children's March,2004,,,126,7.8
3873713,Lee Dae-ro Can't Die,2005,8,4736013.0,91,6.3
9380065,Alien Express,2005,8,,367,2.5
164387,...And Justice for All,1979,6,33300000.0,37992,7.4
28937087,Children of Glory,2006,10,,4433,6.9
24282217,The Naked Kitchen,2009,2,638181.0,416,5.7
7767613,Star!,1968,7,4000000.0,2235,6.4
24863901,1 a Minute,2010,,,241,6.3
30002176,The Pagan,1929,4,,416,6.8
164388,The Great Santini,1979,10,4702575.0,6805,7.2
22985953,Beachhead,1954,2,1400000.0,1150,5.7
31723287,Great West End Theatres,2012,2,,18,8.7
7707787,Carmen,2003,10,,2261,6.1
1630107,A Zed & Two Noughts,1985,,,7345,7.2
7572051,Made Men,1999,,,1853,5.9
22066590,The Bigamist,1956,9,,224,6.9
3550323,Things to Do in Denver When You're Dead,1995,10,529677.0,29270,6.7
1765938,Convoy,1978,,45000000.0,18135,6.3
7460227,The Bridge,2006,9,,175,7.6
19095614,The Castle,1968,,,276,6.7
21878654,SpongeBob vs. The Big One,2009,,,769,7.3
26615659,Swati,1986,,,123,5.8
3222645,The Net,2003,,,386,6.8
20204625,Grampy's Indoor Outing,1936,10,,181,6.8
13613357,Grand Canary,1934,7,,115,6.8
1305819,C.H.U.D.,1984,8,4650000.0,13649,5.6
33495214,Zum Teufel mit der Penne,1968,12,,480,5.3
6752142,Good Morning Miss Dove,1955,,,1117,7.0
14494806,A Boy Named Sue,2000,,,39,6.8
33514209,Mud and Soldiers,1939,10,,33,7.0
9169526,Las Boludas,1993,8,,20,4.6
1031231,"Black Cat, White Cat",1998,9,351447.0,55684,8.0
9912537,La Delatora,1955,,,9,5.6
27002888,La Marseillaise,1938,4,,1351,7.0
6342767,The Insurgents,2007,,,331,4.7
18524941,Nudist Colony of the Dead,1991,,,848,4.0
18066159,The Sands of Kurobe,1968,3,,117,7.0
19031505,The Girl on the Pier,1953,,,120,5.7
23666949,La Portatrice di pane,1950,,,16,5.1
180917,Valiant Is the Word for Carrie,1936,10,,224,6.3
6305925,The Astronaut Farmer,2006,10,11130889.0,23131,6.3
