wiki_ID,char_words,order
975900,Melanie,0.0
394792,Melanie,3.0
4173594,Melanie,1.0
10133100,Melanie,1.0
10133100,Melanie,14.0
8982671,Melanie,1.0
1934018,Melanie,4.0
238810,Melanie,11.0
4362030,Melanie,1.0
4362030,Melanie,3.0
1484119,Melanie,
10542644,Melanie,
3862631,Melanie,2.0
1192770,Melanie,1.0
2804704,Melanie,2.0
231486,Melanie,0.0
231486,Melanie,17.0
29545870,Melanie,
2423462,Melanie,0.0
1721255,Melanie,4.0
4595569,Melanie,1.0
23438736,Melanie,
20765579,Melanie,2.0
4078865,Melanie,11.0
20985883,Melanie,10.0
19250235,Melanie,13.0
24384740,Melanie,2.0
2654186,Melanie,13.0
1693888,Melanie,2.0
24892602,Melanie,1.0
2676861,Melanie,
379851,Melanie,18.0
23823057,Melanie,4.0
21132240,Melanie,7.0
6829329,Melanie,4.0
304428,Melanie,0.0
21764904,Melanie,11.0
10542206,Melanie,13.0
10214302,Melanie,2.0
2252823,Melanie,0.0
1934035,Melanie,4.0
22822894,Melanie,
21471797,Melanie,1.0
34465253,Melanie,0.0
12706663,Melanie,9.0
12709909,Melanie,5.0
468353,Melanie,2.0
25501212,Melanie,0.0
12898367,Melanie,5.0
975900,Ballard,0.0
2077360,Ballard,0.0
2077360,Ballard,3.0
1312584,Ballard,32.0
14420555,Ballard,3.0
733818,Ballard,7.0
123417,Ballard,38.0
26197151,Ballard,0.0
26197151,Ballard,1.0
26197151,Ballard,2.0
74942,Ballard,8.0
1584791,Ballard,10.0
20444120,Ballard,0.0
14143964,Ballard,7.0
24890661,Ballard,
22932043,Ballard,1.0
142461,Ballard,15.0
5469422,Ballard,0.0
5469422,Ballard,1.0
5469422,Ballard,2.0
5469422,Ballard,3.0
5449985,Ballard,5.0
18123554,Ballard,0.0
975900,Williams,1.0
24291753,Williams,6.0
3662683,Williams,4.0
28763446,Williams,12.0
8969928,Williams,4.0
27888833,Williams,2.0
4608141,Williams,
10709040,Williams,1.0
11950831,Williams,2.0
5733528,Williams,5.0
1443093,Williams,2.0
1443093,Williams,10.0
1392052,Williams,
17323415,Williams,
1940533,Williams,7.0
23615900,Williams,11.0
299016,Williams,1.0
299016,Williams,11.0
299016,Williams,20.0
299016,Williams,21.0
21922672,Williams,19.0
2599640,Williams,0.0
2599640,Williams,8.0
2541685,Williams,0.0
21093009,Williams,6.0
3907848,Williams,
33194261,Williams,
922145,Williams,6.0
922145,Williams,7.0
10638177,Williams,
2229575,Williams,0.0
2229575,Williams,1.0
2229575,Williams,3.0
2229575,Williams,8.0
2229575,Williams,17.0
10433895,Williams,6.0
1952976,Williams,0.0
1952976,Williams,3.0
6250660,Williams,
12894538,Williams,3.0
23831370,Williams,
25526577,Williams,9.0
1979808,Williams,
23006569,Williams,0.0
23006569,Williams,1.0
23006569,Williams,2.0
23006569,Williams,6.0
6170272,Williams,
31223331,Williams,
4890837,Williams,6.0
1252914,Williams,3.0
28983795,Williams,
24233189,Williams,3.0
24233189,Williams,7.0
24233189,Williams,8.0
13475461,Williams,0.0
18841979,Williams,
640040,Williams,
9901279,Williams,
1620539,Williams,23.0
6135427,Williams,0.0
24051154,Williams,
3088107,Williams,0.0
21646685,Williams,11.0
18454887,Williams,6.0
19015646,Williams,6.0
8364339,Williams,
29836726,Williams,
18992327,Williams,
1278575,Williams,8.0
24808831,Williams,6.0
12621957,Williams,17.0
7141343,Williams,
7323731,Williams,
15103329,Williams,21.0
451817,Williams,0.0
22643427,Williams,
13799441,Williams,1.0
2535397,Williams,1.0
26120493,Williams,
26015247,Williams,4.0
14878446,Williams,0.0
14878446,Williams,2.0
14878446,Williams,3.0
2265234,Williams,4.0
16475684,Williams,0.0
16475684,Williams,1.0
16475684,Williams,2.0
25490826,Williams,
31165238,Williams,0.0
25125167,Williams,4.0
7846363,Williams,3.0
5603725,Williams,11.0
30296356,Williams,4.0
24152572,Williams,0.0
24152572,Williams,2.0
21086574,Williams,1.0
14307697,Williams,1.0
14307697,Williams,9.0
11610890,Williams,4.0
17651907,Williams,9.0
17651907,Williams,10.0
35908571,Williams,0.0
1998039,Williams,
7354153,Williams,
4846576,Williams,11.0
19250235,Williams,14.0
2663129,Williams,11.0
33002698,Williams,0.0
33002698,Williams,0.0
33002698,Williams,1.0
33002698,Williams,4.0
27279709,Williams,
171568,Williams,7.0
23548511,Williams,3.0
33192982,Williams,1.0
21209407,Williams,
2887831,Williams,
4734333,Williams,2.0
4734333,Williams,18.0
18025932,Williams,
74018,Williams,14.0
142469,Williams,13.0
9459581,Williams,0.0
9459581,Williams,5.0
9459581,Williams,6.0
13292846,Williams,
22318957,Williams,12.0
3217,Williams,0.0
8863185,Williams,
5651515,Williams,3.0
3947,Williams,3.0
3947,Williams,4.0
3947,Williams,6.0
591309,Williams,4.0
30296552,Williams,0.0
30296552,Williams,11.0
30296552,Williams,12.0
30296552,Williams,14.0
2002320,Williams,3.0
32693221,Williams,5.0
3616144,Williams,9.0
18725026,Williams,26.0
2045991,Williams,29.0
24862266,Williams,1.0
1383548,Williams,5.0
214783,Williams,39.0
29129487,Williams,
17874058,Williams,0.0
17874058,Williams,4.0
17874058,Williams,5.0
10192270,Williams,2.0
7815867,Williams,4.0
7815867,Williams,7.0
7815867,Williams,18.0
7815867,Williams,19.0
7815867,Williams,20.0
1194710,Williams,3.0
1501461,Williams,
20391295,Williams,16.0
295973,Williams,9.0
8948359,Williams,0.0
8948359,Williams,7.0
6268641,Williams,9.0
10770671,Williams,
18473521,Williams,4.0
20431870,Williams,
5017604,Williams,15.0
5673173,Williams,11.0
714334,Williams,13.0
2918858,Williams,1.0
2918858,Williams,6.0
2918858,Williams,15.0
4920728,Williams,
3565461,Williams,12.0
3565461,Williams,16.0
34992096,Williams,0.0
34992096,Williams,1.0
34992096,Williams,3.0
34992096,Williams,4.0
755231,Williams,12.0
11604193,Williams,2.0
5316938,Williams,9.0
5150901,Williams,6.0
77223,Williams,7.0
5148493,Williams,6.0
24202060,Williams,9.0
11936219,Williams,1.0
13729387,Williams,
10542206,Williams,7.0
2949827,Williams,7.0
7102278,Williams,
27423486,Williams,
15871997,Williams,
6103640,Williams,12.0
2425809,Williams,0.0
2425809,Williams,4.0
2425809,Williams,5.0
2425809,Williams,9.0
3992363,Williams,
17594022,Williams,6.0
21282769,Williams,
1957324,Williams,2.0
177906,Williams,
3170260,Williams,1.0
2524772,Williams,0.0
9294,Williams,0.0
28059811,Williams,
13670373,Williams,2.0
724258,Williams,8.0
689549,Williams,
1494750,Williams,1.0
3168732,Williams,0.0
3088906,Williams,0.0
10193,Williams,2.0
32799797,Williams,13.0
24607828,Williams,1.0
24607828,Williams,2.0
10487,Williams,0.0
3955890,Williams,1.0
3955890,Williams,2.0
3955890,Williams,3.0
3955890,Williams,4.0
3955890,Williams,8.0
905530,Williams,2.0
171628,Williams,1.0
13141359,Williams,0.0
16418258,Williams,
5921551,Williams,3.0
3276167,Williams,15.0
1421510,Williams,6.0
2156510,Williams,6.0
161450,Williams,9.0
3718428,Williams,0.0
3421880,Williams,
15072401,Williams,2.0
695435,Williams,0.0
5452611,Williams,1.0
21450904,Williams,7.0
32840911,Williams,8.0
4110259,Williams,2.0
22427855,Williams,9.0
975900,Jericho,3.0
1241597,Jericho,0.0
2069002,Jericho,0.0
32842014,Jericho,
9409095,Jericho,0.0
2837025,Jericho,0.0
13670373,Jericho,29.0
22333286,Jericho,10.0
8834970,Jericho,1.0
975900,Butler,3.0
10366326,Butler,4.0
7965439,Butler,
22546305,Butler,3.0
28886150,Butler,
29012443,Butler,9.0
31701975,Butler,7.0
31701975,Butler,11.0
22561292,Butler,
29460674,Butler,2.0
4704124,Butler,
2405186,Butler,10.0
3011117,Butler,4.0
3266563,Butler,
7629716,Butler,0.0
24200166,Butler,14.0
15738569,Butler,14.0
30505130,Butler,9.0
585824,Butler,4.0
2804704,Butler,1.0
2804704,Butler,27.0
24199899,Butler,
24162411,Butler,9.0
14411179,Butler,
14241872,Butler,
8670809,Butler,1.0
15880696,Butler,
13391536,Butler,
20568913,Butler,
2098803,Butler,6.0
600216,Butler,5.0
24069500,Butler,10.0
17680639,Butler,
6233638,Butler,4.0
73402,Butler,
16310797,Butler,
1247973,Butler,7.0
19729210,Butler,0.0
19729210,Butler,1.0
12217100,Butler,8.0
22643258,Butler,
7368729,Butler,
2877584,Butler,6.0
22466518,Butler,4.0
4836072,Butler,9.0
6074231,Butler,
22833569,Butler,1.0
3723947,Butler,23.0
1645598,Butler,8.0
30224624,Butler,3.0
30224624,Butler,4.0
30224624,Butler,9.0
33314767,Butler,5.0
23731682,Butler,0.0
24062783,Butler,0.0
682393,Butler,35.0
22643309,Butler,
14568591,Butler,0.0
10469675,Butler,7.0
9477743,Butler,10.0
9477743,Butler,16.0
1048388,Butler,0.0
12157297,Butler,11.0
19378889,Butler,
11244593,Butler,26.0
22110321,Butler,7.0
19802726,Butler,7.0
28174450,Butler,
3116175,Butler,11.0
33232265,Butler,7.0
23995219,Butler,
1546168,Butler,0.0
3159738,Butler,4.0
19745387,Butler,1.0
5578994,Butler,5.0
32477039,Butler,
14444608,Butler,6.0
3396829,Butler,3.0
1296482,Butler,5.0
5079650,Butler,8.0
2726812,Butler,6.0
21807476,Butler,5.0
16927051,Butler,
2109157,Butler,6.0
24094515,Butler,
25765787,Butler,12.0
32136308,Butler,
31722286,Butler,11.0
33025445,Butler,
17050526,Butler,
27602436,Butler,
22816517,Butler,
28786108,Butler,
4901569,Butler,
52389,Butler,104.0
7600911,Butler,7.0
14259399,Butler,6.0
19149675,Butler,
8949772,Butler,14.0
6744353,Butler,4.0
21618384,Butler,5.0
975900,Bashira,4.0
975900,Kincaid,4.0
24234740,Kincaid,5.0
30865068,Kincaid,2.0
30865068,Kincaid,6.0
5533243,Kincaid,0.0
19240936,Kincaid,0.0
19240936,Kincaid,0.0
19240936,Kincaid,1.0
2098803,Kincaid,7.0
2098803,Kincaid,13.0
2729561,Kincaid,0.0
2729561,Kincaid,3.0
9881864,Kincaid,0.0
24199741,Kincaid,7.0
1188393,Kincaid,3.0
1188393,Kincaid,10.0
5073747,Kincaid,0.0
5073747,Kincaid,4.0
5073747,Kincaid,5.0
3549346,Kincaid,3.0
3038038,Kincaid,5.0
20979100,Kincaid,0.0
20979100,Kincaid,2.0
20979100,Kincaid,4.0
20979100,Kincaid,7.0
1194710,Kincaid,29.0
14644393,Kincaid,1.0
14644393,Kincaid,4.0
617535,Kincaid,
600351,Kincaid,3.0
1605227,Kincaid,9.0
1605227,Kincaid,10.0
2073415,Kincaid,1.0
28066657,Kincaid,2.0
5245540,Kincaid,2.0
5245540,Kincaid,3.0
5245540,Kincaid,5.0
5245540,Kincaid,6.0
12674042,Kincaid,0.0
975900,Helena,2.0
23318059,Helena,4.0
20783851,Helena,12.0
31704157,Helena,0.0
26111191,Helena,1.0
21250434,Helena,
515151,Helena,4.0
166813,Helena,7.0
7543423,Helena,1.0
17064256,Helena,
1897450,Helena,
22643043,Helena,2.0
31941988,Helena,13.0
3590838,Helena,
77460,Helena,1.0
7208007,Helena,11.0
18903759,Helena,
10591637,Helena,1.0
37599,Helena,2.0
10934072,Helena,0.0
10934072,Helena,13.0
21871251,Helena,4.0
6046110,Helena,5.0
9947055,Helena,0.0
9947055,Helena,20.0
6264910,Helena,1.0
667361,Helena,
649185,Helena,7.0
24854885,Helena,0.0
13093453,Helena,0.0
5146327,Helena,11.0
9979,Helena,12.0
14262447,Helena,
27662471,Helena,2.0
1784755,Helena,1.0
27360673,Helena,14.0
18788912,Helena,19.0
18531768,Helena,
