wiki_ID,genre
330,Comedy-drama
330,Drama
3217,Action
3217,Comedy
3217,Time travel
3217,Black comedy
3217,Zombie Film
3217,Horror Comedy
3217,Action/Adventure
3217,Costume drama
3217,Stop motion
3217,Horror
3217,Cult
3217,Fantasy
3333,War film
3333,Silent film
3333,Indie
3333,Costume drama
3333,Epic
3333,Black-and-white
3333,Drama
3746,Future noir
3746,Existentialism
3746,Chinese Movies
3746,Crime Thriller
3746,Dystopia
3746,Neo-noir
3746,Drama
3746,Cult
3746,Science Fiction
3746,Thriller
3746,Cyberpunk
3746,Film noir
3837,Satire
3837,Western
3837,Comedy
3947,Thriller
3947,Mystery
3947,Crime Fiction
4227,Costume drama
4227,Film adaptation
4227,Period piece
4227,War film
4227,Drama
4227,New Hollywood
4227,Romance Film
4231,Action
4231,Horror
4231,Comedy
4231,Horror Comedy
4560,Action
4560,War film
4560,History
4560,Adventure
4560,Biography
4560,Action/Adventure
4560,Costume drama
4560,Drama
4560,Period piece
4726,Drama
4726,Crime Fiction
4726,Thriller
4726,Action
4726,Superhero movie
4726,Action/Adventure
4727,Camp
4727,Action/Adventure
4727,Fantasy
4727,Comedy
4727,Action
4727,Parody
4727,Superhero movie
4728,Action
4728,Fantasy
4728,Action/Adventure
4728,Superhero
4728,Master Criminal Films
4728,Superhero movie
4728,Crime Fiction
4728,Thriller
4729,Thriller
4729,Science Fiction
4729,Action
4729,Crime Fiction
4729,Action/Adventure
4729,Superhero
4729,Fantasy
4729,Superhero movie
4729,Master Criminal Films
4729,Buddy film
4730,Crime Fiction
4730,Superhero
4730,Fantasy
4730,Master Criminal Films
4730,Superhero movie
4730,Action
4730,Buddy film
4730,Action/Adventure
4730,Thriller
5035,Horror
5035,Monster movie
5035,Creature Film
5035,B-movie
5035,Science Fiction
5035,Cult
5224,Black-and-white
5224,Political drama
5224,Drama
5224,Period piece
5224,Mystery
5224,Epic
5224,Film à clef
5313,Period piece
5313,Martial Arts Film
5313,Fantasy
5313,Drama
5313,Romance Film
5313,Chinese Movies
5313,Adventure
5313,Action
5729,Sports
5729,History
5729,Period piece
5729,Drama
7906,Western
7906,Black-and-white
7906,Comedy
7906,Action/Adventure
8481,Crime Thriller
8481,Erotic thriller
8481,Psychological thriller
8481,Mystery
8481,Erotica
8481,Horror
8481,Thriller
8481,Suspense
8481,Indie
8481,Slasher
8695,Drama
8695,Comedy
8994,Thriller
8994,History
8994,World cinema
8994,War film
8994,Action/Adventure
8994,Action
8994,Drama
9294,B-movie
9294,Cult
9294,Horror
9294,Haunted House Film
9294,Indie
9429,Suspense
9429,Crime Fiction
9429,Thriller
9429,Black-and-white
9835,Crime Fiction
9835,Science Fiction
9835,Indie
9835,Action/Adventure
9835,Western
9835,Doomsday film
9835,Thriller
9835,Action
9835,Dystopia
9835,Escape Film
9979,Thriller
9979,Erotic Drama
9979,Erotica
9979,Mystery
9979,Psychological thriller
9979,Surrealism
9979,Marriage Drama
9979,Drama
9979,Romance Film
9979,Erotic thriller
10193,Thriller
10193,Crime Fiction
10193,Action
10193,Drama
10487,Zombie Film
10487,Black comedy
10487,Splatter film
10487,Horror
10487,Cult
10487,Comedy
10487,Stop motion
10977,Disaster
10977,Drama
10977,Action/Adventure
11167,Auto racing
11167,Stop motion
11223,Romantic comedy
11223,Romance Film
11223,Comedy
11223,Slice of life story
11242,Computer Animation
11242,Japanese Movies
11242,Adventure
11242,Alien Film
11242,Action
11242,Fantasy
11242,Animation
11242,Anime
11242,Science Fiction
11585,Romantic drama
11585,Gay
11585,Gay Interest
11585,Drama
11585,Comedy
11585,Gay Themed
11585,Coming of age
11585,Romance Film
11585,Teen
11585,World cinema
11585,LGBT
11585,Comedy-drama
11701,Anti-war film
11701,Film adaptation
11701,Drama
11701,Period piece
11701,War film
11701,Combat Films
11701,Anti-war
11701,Action
11988,Japanese Movies
11988,Fantasy
11988,Cult
11988,Creature Film
11988,Monster movie
11988,Monster
11988,Science Fiction
11992,Science Fiction
11992,Horror
11992,World cinema
11992,Creature Film
11992,Cult
11992,Fantasy
11992,Monster
11992,Japanese Movies
11993,Science Fiction
11993,Japanese Movies
11993,Monster
11993,Fantasy
11993,Creature Film
11993,World cinema
11993,Horror
11993,Cult
11994,Monster
11994,Monster movie
11994,Science Fiction
11994,Japanese Movies
11994,World cinema
11994,Cult
11994,Fantasy
11994,Action
11994,Action/Adventure
11998,Science Fiction
11998,Horror
11998,Creature Film
11998,Japanese Movies
11998,Fantasy
11998,Monster
12000,Science Fiction
12000,Horror
12000,Creature Film
12000,Fantasy
12000,Monster
12000,Japanese Movies
12001,Monster
12001,Cult
12001,Horror
12001,World cinema
12001,Creature Film
12001,Children's
12001,Science Fiction
12001,Japanese Movies
12001,Fantasy
12002,Creature Film
12002,Japanese Movies
12002,Horror
12003,Japanese Movies
12003,Science Fiction
12003,Fantasy
12003,Monster
12004,Monster
12004,Black-and-white
12004,Science Fiction
12004,Doomsday film
12004,Japanese Movies
12004,Horror
12004,World cinema
12005,Monster
12005,Science Fiction
12005,Japanese Movies
13149,Action
13149,Comedy
13149,Science Fiction
13149,Adventure
13154,Sexploitation
13154,Cult
13154,Drama
13154,Comedy
13154,LGBT
13154,Docudrama
13154,Indie
13290,New Hollywood
13290,Romance Film
13290,Black comedy
13290,Comedy
13290,Coming of age
13290,Cult
13290,Romantic comedy
13901,Black comedy
13901,Teen
13901,Comedy
16782,Action
16782,Disaster
16782,Pre-Code
16782,Action/Adventure
16782,Airplanes and airports
16782,Monster movie
16782,Horror
16782,Adventure
16782,Animation
16782,Black-and-white
16782,Stop motion
17920,Comedy
17920,Parody
17920,Cult
18230,Time travel
18230,Experimental film
18230,World cinema
18230,Avant-garde
18230,Apocalyptic and post-apocalyptic fiction
18230,Romance Film
18230,Drama
18230,Romantic fantasy
18230,Science Fiction
18230,Short Film
18996,Crime Drama
18996,Gangster Film
18996,Coming of age
18996,Drama
18996,Crime Fiction
19055,Media Studies
19055,Culture & Society
19055,Social issues
19055,Documentary
19055,Political cinema
19055,Biography
19701,Absurdism
19701,Costume drama
19701,Slapstick
19701,Humour
19701,Cult
19701,Adventure
19701,Action/Adventure
19701,Comedy
19701,Parody
19715,Romance Film
19715,Comedy
19715,Crime Fiction
19715,Action/Adventure
19715,Romantic comedy
19715,Action
19715,Thriller
20669,Adventure
20669,Children's/Family
20669,Animation
20669,Fantasy
20669,Children's
20669,Family Film
20669,World cinema
20669,Anime
20669,Japanese Movies
20669,Family-Oriented Adventure
20669,Children's Fantasy
20786,Surrealism
20786,Erotic thriller
20786,LGBT
20786,Psychological thriller
20786,Mystery
20786,Thriller
20786,Crime Thriller
20786,Indie
20786,Neo-noir
20786,Drama
20786,Crime Fiction
21037,Parody
21037,Gross out
21037,Black comedy
21037,Gross-out film
21037,Comedy
21174,History
21174,Documentary
21174,Black-and-white
21174,Anthropology
21180,Drama
21180,Romance Film
21180,Media Satire
21180,Thriller
21180,Crime Fiction
21180,Crime Drama
21180,Road movie
22216,Adventure
22216,Road movie
22216,Americana
22216,Action
22216,Music
22216,Comedy
22216,Action/Adventure
22216,Crime Fiction
22216,Crime Comedy
22216,Parody
22216,Buddy film
22727,Comedy
22727,Animation
22727,Drama
22751,Thriller
22751,Drama
22751,Romance Film
22751,Mystery
22829,Zombie Film
22829,Horror
22829,B-movie
22829,Cult
22829,Supernatural
22829,Sexploitation
23255,Anti-war film
23255,War film
23255,Drama
23255,Black-and-white
23255,Existentialism
23255,Anti-war
23512,Documentary
23512,Short Film
24653,Anime
24653,Fantasy
24653,Adventure
24653,Japanese Movies
24653,Fantasy Adventure
25491,Musical
25491,Comedy
25491,Horror Comedy
25491,Cult
25491,Science Fiction
25491,Horror
25491,Sex comedy
25491,Parody
25506,Drama
25506,Boxing
