wikipedia_ID,IMDB_ID
77856,tt0058331
156558,tt0255819
171005,tt0097499
175024,tt0020823
175026,tt0021335
261236,tt0083949
261237,tt0080801
612710,tt0133122
975900,tt0228333
1364293,tt0033150
2314463,tt0482499
2345652,tt0053719
2487170,tt0153301
3196793,tt0245916
6631279,tt0119548
9363483,tt0094320
9548445,tt0099054
9633533,tt0255668
9912533,tt0178356
10275424,tt0021728
10408933,tt0029852
11250635,tt0033888
11448183,tt0367546
13696889,tt0002894
13711159,tt0004604
17715326,tt0026167
18296435,tt0278891
21344842,tt0079552
21926710,tt0892904
22087420,tt0053820
24229100,tt0072157
25960460,tt0166158
26067101,tt0178022
26878691,tt0079899
27611999,tt0088157
28463795,tt0094806
29528534,tt0366182
29772142,tt1849787
30388930,tt0088646
31323091,tt0051577
31983669,tt0022289
32445576,tt13906516
32456683,tt0061637
33420460,tt0104601
33427105,tt0055997
273431,tt0255637
1254263,tt0073705
1369204,tt0031516
2647998,tt0074653
3645672,tt0055981
4951456,tt0097670
5664529,tt0063787
5708633,tt0402230
5894429,tt0488380
5915856,tt0378118
7028314,tt0050646
7252019,tt0161362
7364373,tt0013951
11353896,tt0320792
11633165,tt0128332
11996174,tt0426863
12008535,tt0405393
12053509,tt0097790
12371532,tt0479879
12788657,tt0062755
13281430,tt0843287
14301436,tt0009082
14631844,tt0008150
16686643,tt0904126
19494009,tt0170113
20334086,tt1152403
20944359,tt0163238
21235485,tt0091513
21449578,tt0116480
21958879,tt0053410
24039457,tt0465517
24399617,tt0432762
24761154,tt1065099
25413122,tt0043482
26776017,tt0011629
27374355,tt0074681
29198000,tt0106541
31026308,tt0431408
31137877,tt0018713
31156641,tt0323365
31304361,tt0100742
31322464,tt0445847
31323885,tt0173225
32104837,tt0087489
32224700,tt0256351
164387,tt0078718
164388,tt0079239
1630107,tt0090366
1765938,tt0077369
2154704,tt0090836
2659373,tt0056105
3550323,tt0114660
3740032,tt0039313
3873713,tt0479697
4300418,tt0347167
7443859,tt0447117
7460227,tt0907842
7572051,tt0175877
7707787,tt0352230
7767613,tt0063642
8669450,tt0475994
9380065,tt0450258
9390791,tt0362718
10419077,tt0214042
10628777,tt0305952
11717027,tt0058239
17683792,tt0443587
17780234,tt0184076
18109665,tt0005897
18902861,tt0094592
19095614,tt0063563
20204625,tt0027691
21373150,tt0191280
21878654,tt1411029
22066590,tt0049009
22985953,tt0046757
24196090,tt0072430
24282217,tt1516552
24863901,tt1489877
26615659,tt0092033
27556929,tt0116056
28028248,tt1691424
28301986,tt0049143
28415406,tt1829750
28937087,tt0486219
29375144,tt1479388
29766415,tt0037657
30002176,tt0020253
30246289,tt1263736
31153831,tt0234326
31723287,tt1895526
33059372,tt1792799
180917,tt0028455
196176,tt0067800
748616,tt0374546
1031231,tt0118843
1305819,tt0087015
2509881,tt0101627
3513305,tt0084894
6305925,tt0469263
6342767,tt0758757
6752142,tt0048130
9169526,tt0155561
9912537,tt0189470
9944484,tt0058946
12409066,tt0470398
12438366,tt14338824
12832450,tt0368645
13021375,tt0249654
13091003,tt0835485
13602366,tt0017369
13613357,tt0025196
14494806,tt0297034
15739559,tt0011761
16304395,tt0092969
18066159,tt0062798
18524941,tt0102564
19031505,tt0045817
19569910,tt1506339
23445121,tt1280011
23666949,tt0041762
25790807,tt1391122
26137128,tt0343449
27002888,tt0030424
28742538,tt0065556
30437887,tt0354104
30658112,tt0152714
32229606,tt0125113
32972053,tt0012980
33495214,tt0063849
33514209,tt0162714
33872851,tt0032725
33956317,tt2032545
34454683,tt0060075
34470083,tt0249131
34702021,tt0315394
35847891,tt0006672
36151270,tt0096775
73842,tt0004008
103021,tt0077928
142911,tt0203986
336846,tt0077631
1588008,tt0113283
1940449,tt0107978
2174795,tt0087696
2316181,tt0043460
3033993,tt0416508
3179118,tt0066922
3249964,tt0042579
3310726,tt0038262
3829646,tt0088461
5261530,tt0064135
5384210,tt0392023
5696825,tt0106664
6330031,tt0017632
6795107,tt2378334
6795113,tt2373668
8366514,tt0033117
11692389,tt0469828
13291849,tt0120381
15007384,tt0025198
18496109,tt0263362
20119316,tt0319365
20433908,tt0283844
21793185,tt0058786
21906878,tt0062108
22256486,tt0112654
23968563,tt0025605
24011583,tt0036505
27463222,tt1452628
27874961,tt0126004
28649243,tt0070374
29146560,tt0012513
29551629,tt1578818
30109815,tt0040744
30173306,tt0112272
30405742,tt1692889
31256008,tt0019457
31505444,tt0029924
31751930,tt0259242
32417200,tt0047828
32852698,tt0023479
33144131,tt1697920
362719,tt0078346
413207,tt0152930
1643787,tt0061687
2870618,tt0461472
3681139,tt0102517
4069274,tt0396271
4459059,tt0120373
5549065,tt0408236
5685826,tt0443436
6367133,tt1031215
6471697,tt0101283
6703617,tt0865556
7696753,tt0057261
10705531,tt0219224
11013589,tt0082708
13706555,tt0002920
13919299,tt0218937
14294670,tt0427342
14543900,tt0271748
14886428,tt0030289
14907363,tt0842823
16055450,tt0098324
17379289,tt0081764
17486320,tt0368609
17960503,tt0145774
18037577,tt0004472
18821340,tt0144023
19389755,tt1132135
20365034,tt0066071
20545821,tt0099191
21271533,tt0161292
21737016,tt0079094
22308889,tt0268295
22466518,tt0019466
23066641,tt0028176
24234630,tt0026711
26205476,tt0035361
27365295,tt0065825
28327554,tt0064359
29174042,tt1753866
29851917,tt0024199
30353952,tt0252489
32148709,tt6793656
33843262,tt0085327
33870773,tt13979430
34689049,tt0024254
35923481,tt0380349
36542079,tt0053167
171058,tt0103939
240088,tt0098830
1033297,tt0120804
1688879,tt0119496
2546429,tt0087298
2574970,tt0150259
2596816,tt0029994
2608958,tt0119807
3883051,tt0084395
3927698,tt0448424
6170621,tt0221344
6273971,tt0078119
9105523,tt0114129
9916335,tt0198683
11252861,tt0235963
12380008,tt0022293
12490207,tt0313445
13911991,tt0014459
14630761,tt0066092
14739568,tt0043661
14773122,tt0082017
14881706,tt0017850
15737392,tt0108056
20117139,tt0132539
20553214,tt1400528
20904045,tt0075825
21236198,tt0045229
21618909,tt1202517
24053482,tt0118932
24364162,tt3588012
24416479,tt0101412
25753113,tt0053025
25947106,tt0023512
26624119,tt0053651
29141182,tt0039285
29468997,tt0037181
31021783,tt0039410
31613768,tt0093194
31686022,tt0142393
32345990,tt0058772
32584198,tt1496884
33148159,tt0968993
34472259,tt0111592
34530005,tt0014145
35567084,tt2201446
36166216,tt0067236
37067980,tt0181053
207680,tt0110638
235331,tt0058888
