wiki_ID,char_words,order,gender
3217,Gold,6.0,
3217,Linda,7.0,F
3217,Henry,4.0,M
3217,Duke,4.0,M
3217,Warrior,9.0,M
3217,Ash,0.0,M
3217,Red,4.0,M
3217,Williams,0.0,M
3217,Lord,2.0,M
3217,Sheila,1.0,F
3217,Arthur,2.0,M
3746,Deckard,0.0,M
3746,Eldon,8.0,M
3746,Lewis,12.0,M
3746,Bear,11.0,M
3746,Leon,7.0,M
3746,Hannibal,10.0,M
3746,Rick,0.0,M
3746,Holden,18.0,M
3746,Kaiser,19.0,
3746,Rachael,2.0,F
3746,Tyrell,8.0,M
3746,Roy,1.0,M
3746,Bryant,4.0,M
3746,Sebastian,6.0,M
3746,Chew,10.0,M
3837,Lamarr,3.0,M
3837,Van,11.0,M
3837,Bart,0.0,M
3837,Lyle,6.0,M
3837,Buddy,18.0,M
3837,Olson,8.0,M
3837,Gabby,12.0,M
3837,Johnson,13.0,F
3837,Hedley,3.0,M
3837,Von,4.0,F
3837,Governor,5.0,M
3837,Sam,14.0,M
3837,Howard,10.0,M
3837,Johnson,8.0,M
3837,Harriett,13.0,F
3837,Taggart,2.0,M
3837,Lili,4.0,F
3837,Jim,1.0,M
3947,Don,14.0,M
3947,Williams,6.0,M
3947,Dorothy,1.0,F
3947,Williams,3.0,F
3947,Hunter,13.0,M
3947,Frank,2.0,M
3947,Jeffrey,0.0,M
3947,Beaumont,7.0,F
3947,Raymond,11.0,M
3947,Ben,5.0,M
3947,Paul,12.0,M
3947,Beaumont,0.0,M
3947,Barbara,8.0,F
3947,Sandy,3.0,F
3947,Mike,10.0,M
3947,Booth,2.0,M
4227,Lyndon,0.0,M
4227,Barry,0.0,M
4231,Summers,0.0,F
4231,Jeffrey,15.0,M
4231,Kimberly,5.0,F
4231,Murray,11.0,M
4231,Nicole,14.0,
4231,Andy,16.0,M
4231,Benny,7.0,M
4231,Buffy,0.0,F
4231,Gary,11.0,M
4231,Cassandra,8.0,F
4231,Joyce,,F
4231,Jennifer,6.0,F
4231,Merrick,1.0,M
4231,Pike,4.0,M
4231,Amilyn,2.0,M
4560,Morrison,19.0,M
4560,Edward,3.0,M
4560,Campbell,5.0,M
4560,Murron,1.0,F
4560,William,0.0,M
4560,King,3.0,M
4560,Elder,14.0,
4560,Wales,17.0,M
4560,Princess,2.0,F
4560,Robert,4.0,M
4560,Stephen,,M
4560,Hamish,5.0,M
4560,Wallace,0.0,M
4560,Stewart,14.0,
4560,Bruce,4.0,M
4560,Malcolm,12.0,M
4560,Prince,17.0,M
4560,Argyle,16.0,M
4560,Isabelle,2.0,F
4726,Knox,5.0,M
4726,James,6.0,M
4726,Mayor,10.0,M
4726,Dent,7.0,M
4726,Alexander,5.0,M
4726,Gordon,6.0,M
4726,Vicki,2.0,F
4726,Carl,8.0,M
4726,Bob,9.0,M
4726,Grissom,8.0,M
4726,The,1.0,M
4726,Harvey,7.0,M
4726,Vale,2.0,F
4726,Alfred,3.0,M
4727,Vice,11.0,M
4727,Gordon,7.0,M
4727,Admiral,11.0,M
4727,Commodore,10.0,M
4727,Cooper,9.0,F
4727,Alfred,6.0,M
4727,Morgan,13.0,M
4727,Miles,,M
4727,Chief,8.0,M
4727,James,,M
4727,Robin,1.0,M
4727,Harriet,9.0,F
4728,Jen,11.0,F
4728,Ice,7.0,F
4728,Gordon,5.0,M
4728,Lady,14.0,F
4728,Alfred,4.0,M
4728,Max,3.0,M
4728,The,1.0,M
4728,Charles,8.0,M
4728,Mayor,6.0,M
4728,James,5.0,M
4728,Princess,7.0,F
4729,Barbara,4.0,F
4729,Haven,9.0,F
4729,Gordon,6.0,F
4729,Ivy,1.0,F
4729,James,6.0,M
4729,Alfred,5.0,M
4729,Wilson,4.0,F
4729,Grayson,2.0,M
4729,Man,,M
4729,Nora,10.0,F
4729,Bane,12.0,M
4729,Julie,8.0,F
4729,Madison,8.0,F
4729,Gordon,6.0,M
4729,Dick,2.0,M
4730,Dent,3.0,M
4730,Meridian,2.0,F
4730,Sugar,7.0,F
4730,Robin,4.0,M
4730,James,,M
4730,Burton,10.0,M
4730,Harvey,3.0,M
4730,Alfred,5.0,M
4730,Chase,2.0,F
4730,Gordon,6.0,M
5035,Eric,0.0,M
5224,Roosevelt,,M
5224,Parks,4.0,M
5224,Jerry,9.0,M
5224,Alexander,2.0,F
5224,Jim,3.0,M
5224,Charles,0.0,M
5224,Thompson,,M
5224,The,,M
5224,Leland,1.0,M
5224,Mary,5.0,F
5224,Anderson,14.0,F
5224,Herbert,8.0,M
5224,Raymond,6.0,M
5224,Jedediah,1.0,M
5224,Gettys,3.0,M
5224,Young,17.0,M
5224,Susan,2.0,F
5224,Foster,0.0,M
5224,Walter,4.0,M
5224,Xanadu,,F
5224,Bertha,14.0,F
5224,Carter,8.0,M
5224,Theodore,,M
5224,Monroe,,F
5224,Thatcher,4.0,M
5224,Xanadu,,M
5224,Kane,2.0,F
5224,Adolf,,M
5224,Emily,7.0,F
5224,Kane,0.0,M
5224,Norton,7.0,F
5313,Lien,1.0,F
5313,Governor,6.0,M
5313,Jun,,
5313,Pei,,M
5313,Bai,0.0,M
5313,Jun,,M
5313,May,10.0,F
5313,Lo,3.0,M
5313,Li,0.0,M
5313,Mu,0.0,M
5313,Fox,5.0,F
5313,Te,4.0,M
5313,Jade,5.0,F
5313,Lu,12.0,M
5313,Jen,2.0,F
5313,Cai,,
5313,Master,0.0,M
5313,Shu,1.0,F
5313,De,12.0,M
5313,Cloud,,M
5313,Sir,4.0,M
5313,Tsai,9.0,
5313,Bo,7.0,M
5313,Yu,6.0,M
5313,Yu,1.0,F
5729,Jennie,2.0,F
5729,Sybil,3.0,F
5729,Lord,4.0,M
5729,Harold,0.0,M
5729,Charles,11.0,M
5729,Lindsay,4.0,M
5729,Eric,1.0,M
5729,Gordon,3.0,F
5729,Jackson,12.0,M
5729,Henry,7.0,M
5729,Sam,5.0,M
5729,Artist,,M
5729,Montague,6.0,M
5729,Aubrey,6.0,M
5729,Andrew,4.0,M
7906,Jefferson,,M
7906,Destry,0.0,M
7906,Thomas,,M
8481,Kate,3.0,F
8481,Miller,3.0,F
8481,Robert,1.0,M
8481,Elliott,1.0,M
8481,Doctor,1.0,M
8695,Dietrich,9.0,M
8695,Owens,13.0,M
8695,Captain,,M
8695,Lionel,0.0,M
8695,Colonel,3.0,M
8695,Jack,2.0,M
8695,Scott,7.0,F
8695,Frank,12.0,M
8695,Alexei,,M
8695,General,1.0,M
8695,Major,4.0,M
8695,President,0.0,M
8695,Randolph,10.0,M
8695,Lieutenant,,M
8695,Lothar,6.0,M
8695,Kong,4.0,M
8994,Henrich,,M
8994,Hagen,29.0,M
8994,Benjamin,27.0,M
8994,Werner,1.0,M
8994,Franz,33.0,M
8994,Lieutenant,0.0,M
8994,Ario,10.0,M
8994,Captain,0.0,M
8994,Chief,2.0,M
8994,Nadine,,F
8994,Johann,6.0,M
8994,Preacher,14.0,M
8994,Der,,M
8994,Phillip,19.0,M
8994,Markus,35.0,M
8994,Monique,12.0,F
9294,Ash,,M
9294,Williams,0.0,M
9294,Scott,2.0,M
9294,Cheryl,1.0,F
9294,Linda,3.0,F
9294,Shelly,4.0,F
9835,Duke,4.0,M
9835,Brain,,M
9835,Taylor,21.0,M
9835,Maggie,7.0,F
9835,President,3.0,M
9835,Romero,10.0,M
9835,Girl,5.0,F
9835,The,4.0,M
9979,Thomas,,M
9979,Harford,1.0,F
9979,Hartford,,F
9979,Carl,11.0,M
9979,Marion,3.0,F
9979,Lou,22.0,
9979,Curran,,F
9979,Harris,19.0,
9979,Rosa,23.0,
9979,Alice,1.0,F
9979,Nuala,18.0,
9979,Roz,13.0,
9979,Roz,13.0,F
9979,Helena,12.0,F
9979,Bill,,M
9979,Illona,14.0,F
9979,Amanda,,F
9979,Victor,2.0,M
9979,Harford,0.0,M
9979,Nick,5.0,M
9979,Sandor,8.0,M
9979,Lisa,21.0,F
9979,Gayle,17.0,
10193,Williams,2.0,M
10193,Roper,1.0,M
10193,Su,6.0,F
10193,Mei,7.0,F
10193,Lee,0.0,M
10193,Ling,7.0,F
10193,Han,3.0,M
10193,Lin,6.0,F
10193,Man,,M
10193,Tania,4.0,F
10487,Ed,4.0,
10487,Linda,6.0,F
10487,Ash,,M
10487,Williams,0.0,M
10487,Raymond,7.0,M
10487,Jake,2.0,M
10487,Joe,3.0,F
10487,Henrietta,5.0,M
10487,Bobby,3.0,F
10487,Annie,1.0,
10977,Max,0.0,M
10977,Bill,4.0,M
10977,Manny,5.0,M
10977,Laura,1.0,F
10977,Rodrigo,5.0,M
10977,Klein,0.0,M
10977,Klein,1.0,F
11223,Hamish,10.0,M
11223,Laura,12.0,F
11223,Banks,,M
11223,Fiona,5.0,F
11223,Angus,11.0,M
11223,Tom,2.0,M
11223,Scarlett,7.0,F
11223,David,6.0,M
11223,Bernard,23.0,M
11223,Lydia,24.0,F
11223,Young,34.0,F
11223,Charles,0.0,M
11223,Matthew,4.0,M
11223,Henrietta,8.0,F
11223,The,17.0,M
11223,Gerald,9.0,M
11223,Carrie,1.0,F
11223,Gareth,3.0,M
11223,George,17.0,M
11223,Sir,27.0,M
11242,Captain,,M
11242,Ryan,,M
11242,General,,M
11242,Elliot,,M
11242,Jane,,F
11242,Major,,M
11242,Aki,,F
11242,Doctor,,F
11242,Doctor,,M
11242,Edwards,,M
11242,Ross,,F
11242,Gray,,M
11242,Council,,F
11242,Council,,M
11242,Sid,,M
11242,Neil,,M
11242,Hein,,M
11701,Doc,11.0,M
11701,Murphy,,M
11701,Leonard,,M
11701,Davis,,M
11701,Colonel,9.0,M
11701,Earl,10.0,M
11701,Jay,11.0,M
11701,Hartman,3.0,M
11701,Lawrence,,M
11988,Masami,,M
11988,Osamu,,M
11988,Kazuo,,M
11988,Fumiko,,F
11988,General,,M
11992,Captain,,M
11992,Red,6.0,M
11992,Nita,3.0,M
11992,Little,,
11992,Kane,4.0,
11993,Goro,1.0,
11993,Maki,1.0,
11993,Riko,2.0,
11993,Morio,5.0,M
11994,Kyoko,2.0,F
11994,Stevenson,9.0,M
11994,General,5.0,M
11994,Captain,,
11994,Queen,8.0,
11998,Agent,4.0,
11998,Hiroshi,2.0,M
11998,Driver,6.0,
11998,Emperor,3.0,M
11998,Goro,0.0,M
11998,Antonio,3.0,M
12000,Sho,2.0,M
12000,Asuka,1.0,F
12000,Seiichi,6.0,M
12000,Major,2.0,M
12000,Miki,5.0,F
12000,Goro,4.0,M
12000,Erika,11.0,F
12000,Lieutenant,4.0,M
12001,Akira,0.0,M
12001,Alien,13.0,
12001,Jiro,3.0,
12001,Army,,M
12001,Agent,,
12001,Yuri,7.0,
12001,Chief,5.0,M
12002,Takayuki,7.0,M
12002,Kenichiro,1.0,M
12002,Emmy,2.0,F
12002,Miki,3.0,F
12002,Kano,2.0,F
12002,Fujio,5.0,M
12003,Takuya,0.0,M
12003,Kenji,2.0,M
12003,Masako,1.0,F
12004,Daisuke,2.0,M
12004,Emiko,1.0,
12004,Kyohei,3.0,M
12005,Prime,3.0,M
12005,Steve,,M
12005,Martin,,M
12005,Naoko,1.0,F
12005,Chief,7.0,M
12005,Hiroshi,4.0,F
12005,Emori,9.0,M
12005,Foreign,9.0,M
12005,Goro,0.0,M
12005,Maki,0.0,M
13149,Fred,3.0,M
13149,Katelyn,19.0,F
13149,Tommy,5.0,M
13149,Kyle,12.0,M
13149,Sir,,M
13149,Alexander,2.0,M
13149,Gwen,1.0,F
13149,Fan,29.0,M
13149,Dane,2.0,M
13149,Lathe,,M
13149,Brandon,9.0,M
13149,Guy,4.0,M
13149,Kwan,3.0,M
13149,Jason,0.0,M
13149,General,,M
13149,Hollister,20.0,
13149,Webber,5.0,M
13901,Heather,2.0,F
13901,Betty,14.0,F
13901,Courtney,19.0,
13901,Chandler,4.0,F
13901,Rodney,11.0,M
13901,Ram,10.0,M
13901,Dennis,13.0,M
13901,Kelly,7.0,M
13901,Duke,2.0,F
13901,Jason,1.0,M
13901,Sawyer,0.0,F
13901,Dean,1.0,M
13901,Fleming,5.0,F
13901,Pauline,5.0,F
13901,Martha,12.0,F
13901,Kurt,7.0,M
13901,Peter,9.0,M
13901,Keith,15.0,
13901,Veronica,0.0,F
13901,Finn,14.0,F
13901,Dawson,9.0,M
17920,Gregory,7.0,F
17920,Even,2.0,M
17920,Stan,3.0,M
17920,Mandy,4.0,M
17920,Man,0.0,M
17920,Mr,,M
17920,Gregory,6.0,M
17920,Brian,0.0,M
17920,Jesus,8.0,M
17920,Matthias,,M
17920,Wise,0.0,M
17920,Reg,1.0,M
17920,Cohen,0.0,M
17920,Harry,3.0,M
18996,Giovanni,5.0,M
18996,Joey,7.0,M
18996,Johnny,,M
18996,Charlie,1.0,M
18996,Michael,4.0,M
18996,Tony,2.0,M
18996,Jimmy,8.0,
18996,Oscar,10.0,M
18996,Boy,12.0,M
18996,Diane,9.0,
18996,Teresa,3.0,F
18996,Jimmy,8.0,M
18996,Mario,6.0,M
19701,French,1.0,M
19701,Robin,2.0,M
19701,God,0.0,M
19701,Dennis,5.0,M
19701,Arthur,0.0,M
19701,Tim,1.0,M
19701,The,1.0,M
19701,Sir,1.0,M
19701,Castle,2.0,M
19701,King,0.0,M
19701,Knight,1.0,M
19701,Patsy,3.0,M
19701,Lancelot,,M
19715,Frasier,7.0,F
19715,Matthews,1.0,M
19715,Frank,9.0,M
19715,Leslie,11.0,F
19715,Cheryl,7.0,F
19715,Davis,11.0,F
19715,Fields,4.0,M
19715,Kathy,3.0,F
19715,Stan,4.0,M
19715,Hart,0.0,F
19715,Karen,8.0,F
19715,Victor,2.0,M
19715,Tobin,9.0,M
19715,Gracie,0.0,F
19715,Harry,5.0,M
19715,Eric,1.0,M
20669,Kanta,,
20669,Kanta,,F
20669,Kanta,,M
20669,Tatsuo,,M
20669,Mei,,F
20669,Nanny,,F
20669,Satsuki,,F
20669,Yasuko,,F
20786,Louise,10.0,F
20786,Gene,25.0,M
20786,Nicki,29.0,F
20786,Betty,0.0,F
20786,Joe,4.0,M
20786,Camilla,1.0,F
20786,Driver,41.0,M
20786,Adam,2.0,M
20786,Coco,3.0,F
20786,Rita,1.0,F
20786,Vincenzo,7.0,M
20786,Jenzen,38.0,F
20786,Bonner,10.0,F
20786,Kenny,34.0,M
20786,Cynthia,38.0,F
20786,Lorraine,18.0,F
20786,Roque,20.0,M
20786,Neal,6.0,M
20786,Jimmy,12.0,M
20786,Harry,5.0,M
20786,Brown,11.0,M
20786,Rhodes,1.0,F
20786,Wilkins,36.0,M
20786,Wally,11.0,M
20786,James,28.0,F
21180,Mabel,12.0,F
21180,Emil,14.0,M
21180,Boy,7.0,M
21180,Sonny,16.0,M
21180,Earl,15.0,M
21180,Knox,0.0,M
21180,Knox,1.0,F
21180,Dwight,3.0,M
21180,Wilson,,M
21180,Mallory,1.0,F
21180,Wayne,2.0,M
21180,Kavanaugh,13.0,M
21180,Grace,,F
21180,Gale,2.0,M
21180,Indian,8.0,M
21180,Jack,4.0,M
21180,Mickey,0.0,M
21180,London,7.0,M
21180,Warden,3.0,M
21180,Ed,,M
21180,Roger,17.0,M
22216,Man,20.0,M
22216,Delmar,2.0,M
22216,Dan,,M
22216,Stokes,9.0,M
22216,Cooley,10.0,M
22216,George,5.0,M
22216,Tommy,8.0,M
22216,French,,M
22216,Junior,16.0,M
22216,Little,20.0,M
22216,Homer,9.0,M
22216,Penny,6.0,F
22216,Nelson,5.0,M
22216,Sheriff,10.0,M
22216,Vernon,15.0,M
22216,Teague,4.0,M
22216,Wash,,M
22216,Everett,0.0,M
22216,Johnson,8.0,M
22216,The,20.0,M
22216,Pete,1.0,M
22727,Miyoshi,,M
22727,Kubo,,M
22727,Kanda,,M
22727,Shao,,M
22727,Girl,,F
22727,Lung,,M
22727,Yoshiko,,F
22727,Bai,,M
22727,Tanaka,,M
22727,Yuri,,F
22751,Emily,7.0,
22751,Augusta,5.0,F
22751,Cuban,15.0,M
22751,Priest,14.0,M
22751,Russell,0.0,
22751,Margareta,9.0,F
22751,Walter,2.0,M
22751,Colonel,3.0,M
22751,Julia,0.0,F
22751,Jordan,4.0,M
22751,Bonny,,F
22751,Billy,2.0,M
22751,Priest,14.0,
22751,Luis,1.0,M
22751,Faust,8.0,M
22751,Jordan,5.0,F
22751,Worth,3.0,M
22751,Jorge,16.0,M
22751,Girl,13.0,F
22751,Alan,4.0,M
22751,Sara,6.0,F
22751,Castle,0.0,F
22751,Russell,0.0,F
22829,Indian,6.0,
22829,Shirley,2.0,
22829,Girl,2.0,
22829,Walker,8.0,
22829,Bob,3.0,
22829,The,0.0,M
22829,The,1.0,F
22829,Gold,2.0,
22829,Emperor,0.0,M
23255,Philippe,1.0,M
23255,George,2.0,M
23255,Paul,3.0,M
23255,Paris,1.0,M
23255,Maurice,13.0,M
23255,Pierre,6.0,M
23255,Arnaud,6.0,M
23255,Dax,0.0,M
23255,German,7.0,F
23255,Roget,,M
23255,Ferol,13.0,M
24653,Toki,,F
24653,San,,F
24653,Kaya,,F
24653,Lady,,F
25491,Ralph,10.0,M
25491,Frank,,M
25491,Rival,,M
25491,Everett,6.0,M
25491,Riff,3.0,M
25491,Janet,1.0,F
25491,Columbia,5.0,F
25491,Brad,2.0,M
25491,Betty,11.0,F
25491,Boy,,M
25491,Magenta,4.0,F
25491,The,14.0,F
25491,Rocky,7.0,M
25491,The,9.0,M
25491,Munroe,11.0,F
25491,Eddie,8.0,M
25491,Scott,6.0,M
25506,Hall,50.0,M
25506,Man,42.0,M
25506,Webster,50.0,M
25506,Jake,0.0,M
25506,Joey,1.0,M
26541,Agent,5.0,F
26541,Miller,2.0,M
26541,Frank,6.0,
26541,Marlene,14.0,F
26541,Bud,0.0,M
26541,Maddox,1.0,M
26541,Kevin,10.0,M
26541,Archie,13.0,M
26541,Duke,12.0,M
26541,Debbi,11.0,
26541,Napoleon,,M
26541,Rodriguez,,M
26541,Otto,1.0,M
26541,Parnell,6.0,
26541,Leila,3.0,F
27079,Riker,1.0,M
27079,Kirk,7.0,M
27079,Troi,6.0,F
27079,Beverly,5.0,F
27079,William,1.0,M
