wiki_ID,wikidata_ID
26624119,Q1109729
29141182,Q3003212
29468997,Q3153878
31021783,Q4013825
31613768,Q1407094
31686022,Q5966480
32345990,Q8071486
32584198,Q7577072
33148159,Q1878010
34472259,Q7944204
34530005,Q5979827
35567084,Q485978
36166216,Q3819166
37067980,Q7711221
33519683,
207680,Q612323
235331,Q847709
1249014,Q663469
1393873,Q2755097
1858682,Q545725
2051395,Q1304611
3865579,Q2384699
3959961,Q4813104
5007743,Q423004
5254729,Q431536
5771666,
7235116,Q1195568
7447592,Q2607724
7489503,Q6383121
8616622,Q7899221
9124011,Q5243249
9560806,Q4807952
9879162,Q2521030
11943972,Q1089373
12510319,Q753159
12802045,Q7750147
13723442,Q1447769
14558212,Q7765674
15221045,Q7451667
15457461,Q6944978
17594419,Q627931
18620635,Q7741520
19168185,Q2328533
20506905,Q970779
20648586,Q7599731
22695715,Q7741682
22697314,Q6033771
24291753,Q7721362
24862266,Q6902888
25393275,Q6425186
27504492,Q493306
27667647,Q7161560
29513277,Q1762528
31025770,Q6465996
31155676,
32400923,Q1956410
32494263,Q4740008
33006259,Q7768183
33559533,Q5269248
34169001,Q8057439
34858219,Q10673572
35516437,Q4662689
35785312,Q452171
36422018,Q3985802
16572418,
33544694,
22757028,
22557257,
1924820,Q7763246
2093270,Q1218001
2172156,Q13111257
2642180,Q3191800
3867110,Q16996027
4058835,Q1549103
4434585,Q6739152
4473622,Q2259762
4783144,Q1385260
5418970,Q4787529
6004372,Q584662
7251994,Q5466746
7583494,Q2343648
8637169,Q3007933
9384481,Q1323261
9857879,Q8404567
9857888,Q5350805
10366326,Q5575698
11686007,Q12127510
12384049,Q3373356
13931033,Q7073264
14109452,Q3819301
14840648,Q7768203
15297854,Q1024400
15858518,Q12913812
16183379,Q5431021
16688733,Q2561972
19314444,Q5697890
20484431,Q5123333
20634623,Q5546666
22332882,Q667764
23454846,Q6450619
24282238,Q8048101
24320836,Q669845
25019575,Q7682982
25446757,Q5453095
28178412,Q6745433
28360743,Q5465694
29016627,Q7559450
30551885,Q7582245
30624204,Q7406571
31251203,Q1661356
31915495,Q6663547
33639428,
35962988,Q5094967
36448826,Q2313747
26726624,
44218,Q130769
76345,Q596260
856733,Q1143501
1226289,Q727893
1854612,Q1968656
2450188,Q1428092
3319645,Q805535
3341998,Q2636079
3459253,Q1094130
3475071,Q826289
4926447,Q1232623
7443761,Q7759982
7582987,Q7736329
7731853,Q1057743
7914269,Q7746984
8887199,Q12101020
10594195,Q4897314
11463957,Q4792410
11696799,Q650534
12061267,
12091274,Q2916143
12392289,Q13648340
13955114,Q5882828
15698879,Q6807899
15945437,Q737076
19107318,Q5183147
19496914,Q3472468
20018854,Q16249358
20393685,Q1984098
20579729,Q4900673
20611297,Q7195965
20713032,Q4901992
21047444,Q4657026
21310527,Q3986583
21752299,Q3363032
22643877,Q7846651
23688100,Q3284570
24021571,Q2656371
24789247,Q5641565
25836931,Q5416573
26860201,Q8029760
28352636,Q1766336
28858056,Q7827355
29273489,Q3736288
30351781,Q12116529
30957142,Q4367141
34336017,Q2561866
35987606,Q4725616
36320373,Q2106565
19961614,
