control_data,treated_data
198701,8850
333714,139546
374199,367343
331832,276106
158826,81632
381390,13473
430765,500543
494531,336360
233125,1650
53851,48697
193907,43440
75419,37517
76104,31204
351545,22314
165640,28839
246983,356957
130785,19264
286310,209660
353200,361431
358375,446296
430733,464387
114424,31432
178085,67378
190579,76412
164126,30732
165521,425202
67660,62121
16453,151975
206925,29947
121519,64302
537920,456466
299176,183345
480030,456589
223289,66880
346969,107098
11717,11695
96108,3871
424061,330441
358313,278625
281120,29751
378880,10809
351541,15509
237883,17663
299472,30308
324380,278333
114392,20731
288202,145013
242164,608
216439,52449
277756,61188
288885,11512
333178,162250
172934,33191
531699,522931
151124,32945
440453,9530
331970,298000
65780,23855
382296,69470
357179,32548
407066,416595
430757,507336
391141,6601
395541,453624
41478,171914
231718,19550
109989,97738
260289,107905
335965,269412
259459,2028
122989,37115
73551,20333
52598,55171
206304,40701
63658,73598
317454,114292
223227,134221
165000,45901
241260,21469
425467,220265
60102,159172
261040,217437
225747,185197
137110,65959
467182,75372
210749,124565
263241,99289
376285,322270
135820,143024
343818,111204
266629,239502
490117,450979
175951,79472
31468,23112
125547,64789
162172,2635
49518,11253
198909,2950
320035,5009
101209,82481
234113,119068
16399,16170
509930,490898
195611,129537
196538,51831
250684,11998
300038,22693
452408,383146
136155,318693
101284,79807
303105,445226
317304,54294
351583,198206
115591,68090
122980,82398
413181,393517
103450,2204
407369,22630
411901,19938
370169,196126
147688,92882
180642,453058
313115,106936
361669,359380
386163,167353
156209,64413
147695,78777
418475,69725
294314,356649
304022,49916
18332,261458
115096,75035
296428,128733
390751,496330
223178,163459
228048,25134
198684,73303
370640,18769
498176,483501
440989,4651
489578,425521
497498,500030
156065,160261
262057,249880
226145,74800
262140,168816
182836,61146
231686,108525
139172,265940
150361,175190
182224,23614
153480,52243
311310,77889
384709,519723
296679,4219
386927,340452
313533,8549
372524,340568
237269,26823
302508,212670
441823,83858
51804,24760
200274,183755
182443,28209
192666,40312
206226,154002
162216,60707
144638,37852
409289,87708
170168,109652
253007,86891
433718,16362
335336,345053
278813,275501
145689,19215
255907,25872
390927,52097
512900,522191
229546,32425
393367,98233
326890,112996
45120,35881
236715,18851
528978,504608
175399,11468
303372,491
311405,198986
207629,264443
344325,196111
355685,12625
361233,117508
421466,12122
190017,25277
327142,245435
291814,258271
323721,5516
496820,460450
252566,1454
212206,52122
309295,108789
210823,27545
325488,44204
326894,498
192441,317593
332864,43001
431536,341033
268599,68610
481122,466546
249816,51278
122197,19184
25378,29332
275558,31097
101880,259067
22189,76827
187858,157957
199524,27202
22221,2214
441147,187523
456535,44445
104541,97335
296117,201920
339010,59507
286530,79690
523205,28010
181337,146061
40207,5831
92159,90420
130953,62797
407847,351038
512708,493458
252689,108384
138819,39729
210259,2081
464305,425830
237504,151067
424759,388557
112515,9633
176326,243591
88942,27946
210550,3950
252945,40080
242315,73639
325933,119105
500720,60937
291802,273297
159964,117277
384705,484005
236891,142357
101267,113924
141336,63080
184809,114291
422691,3012
436211,81840
277660,969
96361,45664
106841,44591
315553,50021
478096,80715
468510,398930
67563,37089
233114,133439
413739,492833
301654,207899
97354,63266
101275,65870
403901,101798
168046,155691
259623,6997
447222,448192
269624,51710
11600,11675
282328,302356
501815,524297
234228,5759
411804,23709
163632,58092
140425,17156
255252,340455
328824,381624
493829,493676
369987,208110
371044,31251
331489,83070
427016,21668
136137,26220
45150,3315
188231,6563
251752,340705
213894,31378
355141,459257
117480,12942
138842,116226
106120,61931
501692,215676
429943,347816
195774,445720
288748,14408
181130,6658
364399,510278
442175,446250
180144,25286
250389,246793
483621,129317
351430,68271
321798,308277
114383,20779
423210,264387
219167,97688
447520,168998
243728,62513
340131,216920
326020,109543
431629,457441
178474,54774
445342,601
493039,16510
260042,13881
374396,23508
192449,38154
146497,91002
192002,4631
282291,236004
288497,21
160912,141635
328058,54571
194583,8369
189029,105122
127691,87400
422356,287614
384717,477278
97853,22157
265266,216866
64903,74616
436821,375517
122174,24648
193744,141892
129758,253118
42780,4418
441700,397981
213469,208409
42264,147858
105988,151881
171113,124686
422301,44011
273513,70320
322718,145217
503279,247333
142088,33882
14294,30080
170246,247897
489255,14503
96358,5044
166536,102910
62180,52277
292594,47308
397332,405301
186405,71835
536827,323
401798,30948
422218,375521
184293,105701
262059,28153
48548,22819
341270,1135
434189,254447
152391,51175
346070,69349
351394,59275
277210,84304
296417,111231
89966,20538
169712,150218
48551,176431
367330,17665
36255,17639
198926,15307
447957,404653
418505,301539
247678,18020
523824,501403
22194,68608
263729,230802
192030,8452
493624,289943
29018,75186
118901,66513
120942,16939
370652,18755
451683,435432
241974,4087
161963,99696
267108,75887
85914,431
363537,6709
382207,197699
447999,404663
4755,3817
226479,65977
280598,60942
484210,392854
408730,350672
436395,70577
457712,411002
271720,220803
97619,7669
180599,44742
178358,59539
419719,410014
76323,14060
160187,169324
308976,66837
30858,147721
456759,403133
226543,8433
111495,869
262182,168802
120911,317498
259493,70634
106702,33210
391033,134379
153611,5504
139315,39452
286317,50966
241469,195930
179305,172208
105998,139446
298383,187015
303074,405998
75418,6612
193124,1919
96993,89221
103453,68569
211428,45819
237392,27737
164154,21345
323715,96225
384304,196089
216846,150067
55337,148677
241912,246084
392412,9599
296127,115682
281160,33984
453494,73152
330696,48857
478098,340953
182129,452
386980,8247
306008,83698
336618,13977
358326,378167
306866,161263
293112,27328
96076,135161
353967,261808
287045,38068
65686,5834
278515,260520
261759,36588
208712,24836
400383,42325
353258,274301
361781,48426
145156,317095
159859,127871
359314,26481
153040,129931
468511,431262
280692,291909
340373,181876
213101,4281
409879,408117
351569,22310
242332,85512
196537,46480
294695,17977
192428,38163
163153,22833
65728,5844
88055,9992
255643,190769
234733,24792
387960,186663
122421,37119
320027,557
500793,179673
302720,63613
198572,65361
255864,360489
369884,188010
125446,176876
406744,261351
131824,11337
154975,37654
268200,92773
171376,76913
99467,19987
268457,84478
310125,123477
389272,67427
250521,71714
193763,108846
198666,279225
65481,172998
537051,522236
333300,218273
82820,78366
150356,69774
509880,261333
67003,2325
299165,318574
253388,56975
262097,27803
300935,118202
60211,35255
223689,5662
304085,431213
120898,87921
260941,157327
65731,5845
522661,493136
194577,8231
190031,172317
219478,70438
18292,115242
291075,148188
229552,32433
224499,17895
332089,125105
63664,73604
184361,14453
270475,111649
180205,23094
259015,318848
232682,29997
267813,91680
335441,190756
135984,56879
50494,129470
218735,125391
295111,110741
226825,21299
206918,55465
481066,44896
274163,124231
280905,213788
221145,56062
166913,316985
229735,29642
310214,127601
212307,73685
72291,7600
182944,276174
291640,92858
158818,22900
16006,1383
190011,194807
209682,161862
450682,214879
56238,69162
537757,521606
508759,143841
338444,4039
171552,188684
273744,223789
23561,5026
351112,229364
297374,91700
532415,511102
517556,510413
505835,393243
228405,170633
436990,493934
118839,4589
280442,36913
320022,463278
23382,94087
167850,8502
242309,50632
331932,240073
108075,227706
214619,5110
187099,143707
333616,25405
440315,6083
313407,388
276267,31359
179810,108877
299473,167694
303388,95605
231717,32431
353859,336346
471412,11513
431838,64810
204456,52283
281256,33989
333298,81877
244197,289196
387912,34942
100645,38899
222405,230681
256308,259
447981,404673
225767,168030
139557,98665
139293,188958
178576,86436
409135,196131
65484,249327
131460,23705
218628,14485
264883,196300
346107,124076
115060,115546
119832,246781
136340,221427
180038,200140
532573,4998
380488,117738
423318,132885
422743,135394
167828,46784
513226,6549
414070,23118
234211,22937
470221,88368
266764,54011
439437,54738
144946,78197
187947,187507
394150,37050
274418,1259
233173,193026
31960,7229
365836,29985
388215,10002
515283,491073
142144,54811
96152,33170
296175,285151
306478,39166
514607,476911
33793,8226
169351,17353
253158,224542
51239,1356
484958,392881
174282,3790
154440,53657
292536,66445
217068,174238
446419,374
497218,454113
259319,185514
206872,73592
471035,196320
144568,37058
467379,62708
499021,476051
36295,125607
208514,77869
223358,22815
310730,270688
379022,31352
213716,128343
446970,20260
424896,35217
18907,10416
508168,372772
270483,37902
486668,436296
38501,5709
244801,18729
392761,23500
141497,99457
75458,6552
516332,483077
233340,139501
18812,172730
32414,105382
427007,21663
110454,26905
115957,45813
222592,54557
281018,36886
366441,44579
302673,29115
178487,66825
58926,25254
111561,37439
68652,17303
358986,341598
88846,162364
293945,119522
295851,81801
326460,121257
256087,150250
205210,11238
252266,8657
197877,516868
398068,101852
100130,222563
197873,3509
503618,47015
112329,196940
490754,271420
101215,113925
383688,240209
188836,6205
324408,50663
199406,140246
169239,261461
221710,17672
431657,457476
258002,4539
365071,361958
368858,34084
214212,49622
237450,3477
232802,16574
122971,99039
252014,54233
396981,371463
368476,478174
164159,18200
333842,5535
267142,3819
428452,133804
96102,3873
116470,26668
308077,19289
228300,112850
274629,168785
171564,188991
304610,52318
341710,104178
144470,52417
298260,4841
140406,156840
131896,113791
414020,391357
273051,169754
180562,239334
108971,146288
105331,162393
417103,422094
144761,80300
288918,267200
209120,9249
349324,330204
145685,12684
129763,37573
195473,363918
36202,5658
173915,5876
237266,257377
353644,77102
149503,392748
169090,17768
253122,1555
386284,30264
370967,317104
238221,150578
268509,55731
196677,123888
171876,56435
489496,11239
440429,46802
239656,265869
227203,41637
151030,105850
351119,344121
142217,62992
437794,298751
51949,46190
251157,4707
56257,46988
180127,25257
468090,113621
246987,391634
409580,411303
369530,51189
52019,10907
94427,297180
115068,80806
157660,456596
175979,77523
193251,123491
266622,70066
209942,39935
318195,6576
348079,172137
458698,258924
282372,2437
241058,151811
162055,46725
72281,1411
353793,345175
264791,269381
453509,62295
171182,13370
142521,68829
106947,11272
150845,57751
170233,10188
253133,13532
207005,315870
244542,58975
141799,30937
504099,525467
42779,2290
82615,7087
113462,32371
446699,270406
146486,231462
114705,41103
234151,24815
365072,395581
171171,46550
223326,419121
99423,4067
89303,38694
20151,104179
175794,20564
361002,7695
167126,15802
261647,7839
152303,40407
338282,65322
423549,437632
136649,144870
156201,41307
70873,32188
45130,19687
40619,7418
101211,82478
176088,17254
185859,92804
190606,17650
236441,153802
218040,13187
368507,425430
226141,68082
404037,395732
118887,295426
351823,19548
227247,75008
135643,67410
346178,124292
283955,197711
370061,70183
326033,23823
52032,4806
21023,21073
61310,101391
236719,13930
52612,55073
314060,48419
383690,287558
269058,276674
457062,272450
140592,402967
428620,307833
139024,43251
447033,426551
180156,1730
96788,17731
270791,26435
312820,222568
100839,32459
359468,9851
454164,385358
327986,53225
165614,32212
532594,176511
296233,151978
473328,146435
229187,633
200208,145368
232616,43311
251228,37406
253568,21834
241948,4504
499951,201544
29179,16022
516590,489401
97447,175030
428057,370486
319651,37884
302291,139775
494897,455940
210093,31273
309516,24847
111844,80037
176296,241153
200724,19459
214317,171004
227542,190100
382245,197727
52025,7152
278755,1966
234229,22872
345489,822
194734,114369
178655,20423
188037,264852
127107,156027
232418,28558
282739,25456
439163,192344
186017,221904
250494,168070
299167,85786
21781,327669
369287,167432
49379,81061
52040,4777
469577,435412
325572,111211
255912,161014
130993,82392
410420,343213
266665,3911
220157,48176
405431,62722
133770,166794
127688,152343
138978,5833
248813,151356
348572,341604
179527,66903
190019,25274
436858,451001
425281,444298
454215,379549
168545,6638
231642,38112
403898,373910
320295,224837
284549,158128
261324,118276
145538,28745
261703,128660
321282,68335
334568,30552
148079,129644
409138,414288
377149,44406
426758,14303
31959,32131
163639,52314
145719,2146
111061,41572
369268,311812
421669,129320
234723,52911
186778,36900
28916,44927
153700,15245
294894,315217
57988,204948
303376,47462
49848,1106
49515,11254
204495,103863
303078,445237
175367,75751
492863,503543
118836,179651
343893,78257
159154,137617
251477,238459
183539,224605
133734,7110
231727,16477
192067,130538
51708,118990
224769,65145
32862,281819
149359,70499
367697,214137
362062,450875
184090,148490
399088,62751
193376,35379
124192,11741
310778,12747
201798,61053
227843,24843
476723,168054
352028,68946
345928,49782
247170,46210
164177,109629
163217,143064
422938,13770
338041,139866
78535,63167
218692,214181
209912,76933
175656,139559
328115,355973
140731,54532
229625,121933
251798,36783
323956,24261
379896,9505
469569,361079
179306,83202
112376,311714
289768,11931
280297,193936
375436,98652
381543,85806
337477,7663
511258,492230
183063,13910
205442,40879
361227,102956
318731,78263
58010,40142
51971,32743
28923,11277
346734,282541
219439,43266
520164,455651
429615,254152
31185,12818
223487,6984
205372,55574
247238,12328
113369,12050
437709,46264
111479,9334
56253,55890
353219,321144
237253,24899
212366,77839
480189,500094
230306,12629
176904,19934
327603,200524
96178,25454
331887,43416
232614,1491
97846,44915
204536,32455
433135,12112
179209,55295
416940,10801
340006,319377
137538,92751
219816,183674
395518,455795
411550,258108
105955,139456
372430,229315
193771,185360
228046,4502
510780,454401
252527,254934
421974,132213
197774,129306
315072,14265
349340,509212
501876,14188
373453,38700
214028,82902
300349,55501
222584,23128
197027,197908
87760,83956
205384,174700
130742,331096
244318,151810
62181,115620
127927,4785
481100,12105
177452,30611
178485,54809
136040,4040
217671,36112
298378,177844
434794,15379
351835,482974
185113,1661
290634,159403
107893,252311
85583,66284
289393,43604
279960,49333
196552,116674
457064,259290
474889,427853
354774,323815
122410,96293
132012,99418
195365,68065
207021,151814
309895,77891
181240,56791
89963,20541
488088,341025
113310,117888
460738,42442
499551,468702
127950,64502
359036,115805
436908,62819
195383,125395
530376,388777
488121,448463
323570,61945
165002,77660
234194,19875
385078,16507
190603,17647
234521,7438
394513,336384
241076,130380
414754,368294
228051,4956
50487,19820
486501,211353
179236,39801
78516,17452
503616,47026
369314,344133
178069,7120
325932,119101
77674,10353
309086,4486
8122,30642
215417,63404
156354,41793
203105,173073
278847,270875
408277,78277
438173,70505
50379,76637
45128,49282
429947,254680
250691,91056
410068,479513
455347,345847
186442,217333
241721,7833
411655,366390
333179,296284
328818,111178
267841,29891
296743,433023
329126,64756
514162,454497
110002,66949
282914,225544
262855,123718
223475,20692
505059,174959
451107,364781
76297,53275
415807,404740
473302,1401
197386,65840
435972,3201
440267,217266
294856,100507
523461,506458
446689,270446
190658,54432
200050,67361
76694,88559
336219,155674
424748,224640
461625,456968
260403,133922
137119,39747
305473,39517
52596,50246
361891,222804
32419,80387
126577,15998
334852,21427
446152,186641
113579,18758
213103,4278
237403,133973
358993,115787
56229,66339
38799,108616
163297,15558
100209,40012
314021,90563
304016,65
186470,217421
322505,301762
357292,16218
182579,21876
442656,238688
256164,64970
240901,11961
272042,10173
145179,108358
202426,22341
452289,312052
294006,17652
276251,28870
370140,287150
17905,228142
422167,1276
444107,299801
374390,23510
49095,179641
261644,20296
350562,5087
177741,32755
460129,16133
350878,84355
441913,51085
489615,226910
300923,113821
244170,151886
310742,3452
98595,141085
154945,67352
454724,81868
171122,31089
136662,37511
273504,164763
353220,405908
378877,10845
436961,453437
7501,5693
33114,91491
162025,152181
463524,115981
523440,508882
305836,29099
134134,72603
67469,62994
268532,44363
169232,8751
178241,84732
380937,310993
509877,261336
394494,38287
217087,38051
134175,16388
107890,252310
419695,383878
526479,418786
393879,27811
74541,26452
363331,59914
100796,6856
136599,51441
384626,15391
303481,119961
60022,26393
19902,54082
160889,211939
486773,308770
132761,76606
56994,417274
250085,193476
65771,46461
472710,15447
182424,34099
135822,155105
312270,37912
399061,106276
191681,157134
339275,246094
152971,158040
426308,72381
101887,42120
363851,5023
493582,218
246063,363924
278879,91540
358316,405886
169255,261409
112677,23718
226134,44663
40916,13430
120885,16629
201498,154562
249814,194837
128872,12547
409888,404402
411288,52095
420680,155198
202966,160379
156964,18637
427193,269778
125538,84766
303382,136681
227972,142035
532239,498530
163491,12389
128780,4448
228742,271431
222598,23160
459542,9612
296968,19232
19145,14586
144483,176361
234148,22940
106777,7163
128755,21545
180504,350795
108461,17358
323002,32821
362369,18858
376356,332346
57712,135417
167735,12771
60079,42636
204620,22598
392596,220221
136779,73187
203962,58061
89602,33370
197509,1626
537082,148047
446612,13795
397520,133810
440323,6221
510208,506902
305481,86657
337538,169020
500905,478180
176671,1109
463919,362097
338646,33039
190950,112042
409647,29464
406357,337176
303092,445216
212253,648
480154,409954
152316,3356
189655,175177
236508,167541
353888,111185
339946,538145
128591,15613
493207,393288
272880,87191
431332,368945
195828,445696
423835,77812
323543,221898
403868,373916
222698,181353
363339,105631
279639,248974
207160,268271
65480,245856
351224,40966
455286,38885
56279,19932
155753,263941
349315,482981
412711,362090
22196,149440
339051,46283
272579,57226
112608,63954
118525,181509
416076,6415
97591,238466
520480,524858
164536,80222
175698,160430
502738,392200
176679,22422
101283,113876
278889,270861
256254,169024
144779,95084
277617,153497
416717,134088
128758,8690
169739,71669
338008,258257
61363,24842
311213,29132
328921,122959
76120,50514
219954,148307
303050,44450
234640,157147
233579,183360
508156,203476
305469,39559
494915,497329
112693,20627
372955,230803
177240,22997
290631,131776
144758,77776
238506,51396
169696,69878
304061,103571
332992,111921
177613,6963
226429,82085
384311,232030
390855,15290
54184,25404
135842,155115
237328,4593
353201,336110
377625,394945
162915,218381
329014,97644
195719,74418
54353,3898
172692,9506
121613,54283
387878,296522
112930,71844
233952,41308
190445,68020
381594,44457
309940,264379
162484,90679
413661,103372
514627,508842
21049,4689
185127,54123
324684,20660
249063,49923
131532,86862
271032,334102
496855,460457
401579,159
340148,270091
383071,375546
478086,371124
57767,46991
255810,132849
130453,41758
312822,173518
339106,5668
336027,17868
377647,101708
234153,176387
273421,146203
372928,240202
104189,102366
524439,247320
355105,6451
36756,66733
61501,70306
393750,318817
484189,498456
191646,157170
130836,77494
367763,16990
136135,311609
456346,340826
214472,46197
195849,42329
251260,17403
211085,4280
272830,391485
74276,26160
285840,253107
299667,78734
49376,82056
160934,211873
300136,20337
331915,21280
130912,22404
346476,19306
115413,13249
351079,391598
307189,61491
195663,219804
256066,3552
166526,102930
130899,2170
219870,309149
130456,41759
207167,297497
384388,287929
45149,30484
248907,6860
453213,407635
462151,10352
65487,301096
257146,155246
512699,510266
33814,6318
295620,84076
140936,25760
168546,26441
290355,155857
62194,95105
360217,66561
277686,319761
112529,26051
465026,316311
373469,111050
302854,6013
484235,368948
262686,63267
331451,131244
12650,148614
179465,12741
52035,22425
190425,43796
162678,83942
182972,85877
400148,200965
160113,60900
289731,11895
472980,448848
303112,497388
276805,4143
106063,142293
382455,46292
334379,37934
288906,36106
148458,3575
11015,30767
493258,444581
232351,27554
182411,159560
28950,427714
296434,64721
200277,71770
166906,120035
513636,476954
114280,9868
448618,172070
113298,37128
241229,79108
266445,127555
322363,102460
325855,274322
404527,425846
324260,191768
62156,63806
219951,148306
114489,177134
166519,90700
219629,72441
256909,62418
58006,27572
127711,77485
221215,52465
489533,11259
217532,67934
271122,9187
254429,34761
312493,28752
229773,148172
443200,331100
481888,510386
430156,13809
493294,411003
349641,147822
191706,176282
31947,4635
193695,113154
230150,81326
35762,24748
179708,15612
262427,69125
390733,373937
231300,8768
499753,427447
475039,374700
263418,29526
160007,7216
411401,14309
193317,39959
139286,518
53871,38729
269565,49475
19119,13259
304345,17559
172874,62252
114283,187191
97579,80388
349159,19751
105963,200640
89319,19020
246017,209108
452276,456924
494572,476079
349334,445450
182175,6015
87753,133370
401127,69006
88075,40803
458109,378430
40639,31085
510661,479788
410122,411242
309891,255119
158720,12683
159668,168796
384392,4934
36175,13909
211603,54771
330798,26032
138844,87260
36521,248427
210089,307161
263489,216991
210802,37874
56236,38654
533360,504641
205684,129330
104550,173164
147730,3454
489782,381175
176721,79563
367217,19248
265517,40979
497830,162362
388073,1446
272032,33031
387323,180677
520938,494355
11729,11665
211686,77413
363053,1583
340036,292158
36298,7842
354659,128080
57806,26439
200318,13729
203669,62755
236709,139960
263692,239550
412012,370493
178114,114253
157655,334081
86005,17874
223726,22117
102655,12760
295847,115328
284062,47384
463221,33598
163256,67372
106576,2532
262671,63337
153702,15242
322515,34020
220150,340762
331636,179640
434047,149784
330889,48134
242405,126617
318410,106362
290621,159306
83114,40459
401618,392227
428091,462668
458910,61145
248967,69439
294558,11916
370823,108527
195366,66735
17610,20302
313824,131075
361244,106325
375052,248602
352852,153109
286565,40477
49860,7244
395953,12153
209599,92222
69247,79401
131462,3088
202965,66708
178653,106559
229385,44705
88202,12708
191550,3178
292433,3267
379875,104395
117484,101074
259786,11966
271190,40029
293982,248431
330014,56928
503363,491099
207147,297461
127462,251418
151536,218377
320673,23750
413187,321107
241968,21300
489584,507257
430172,69566
156734,107817
276813,95606
472970,463891
354437,284882
256886,281552
223842,123099
437465,29640
282735,145238
462743,62723
361663,285051
441618,444706
325854,403229
424153,101638
289360,50694
75503,248426
264888,173082
22219,117348
193228,164189
201459,10344
209136,5871
412013,459228
233024,3599
31182,12821
300271,207844
191723,163943
65856,31433
231761,13998
273198,8576
353843,200169
341390,307913
409070,196094
184277,105717
286518,78456
313661,51378
376358,422034
203003,116129
291679,1599
466368,73798
341995,34370
155046,24644
207241,301552
14938,8019
52031,56456
352061,9491
179495,105386
164310,51344
489469,13799
161966,2637
497141,336397
217660,9325
142148,66831
98454,26763
187107,250641
428734,332638
25377,25200
372957,264596
241728,40417
529721,274232
166917,231501
313800,85441
139269,79092
263679,176496
384694,330217
163895,2433
83883,2570
432434,96824
149973,168810
42788,8695
465038,316297
69523,66304
444478,291989
82252,69728
148438,3488
122411,39715
404515,448093
149492,82685
280772,267202
497652,462684
114049,9561
130783,19259
217887,334086
111060,55986
176304,168807
198264,148840
160059,91565
193642,21491
222879,71992
189435,301423
490560,473603
130727,19485
207450,360496
217069,108402
209513,9472
140580,308761
252067,8671
98451,33392
261772,134340
284305,43117
163233,129940
357768,4742
115049,71310
116467,13843
54195,143744
235604,183
138150,290266
209880,83925
456297,323784
11620,75374
46311,48139
274918,246104
446978,24242
400261,138320
280936,8572
288074,143206
104583,22831
173786,20266
299133,139716
338312,60256
128464,5775
100212,3375
184875,154148
349386,148753
363322,112018
57709,166130
449354,13588
194606,740
330316,37026
128420,41316
81120,3351
323680,35006
312806,19186
230161,33330
537931,436239
105967,127553
436846,377548
517592,468304
156763,3833
315603,40484
238253,188082
259601,277882
246952,416239
526948,13625
130788,35497
409870,436230
145973,49188
296701,33229
300901,429260
328453,76857
118544,42102
99593,45343
165668,171678
306678,5679
445136,81865
40197,162715
197864,27859
396680,373936
185072,1640
244001,13637
136301,26234
167471,56867
61383,33740
374308,249289
149495,72058
402894,151777
268799,80792
358118,229663
66674,8442
104569,22104
175162,106414
280911,213833
309224,17687
76099,87519
322523,53536
259001,318776
186673,111716
396675,373942
449327,28491
283765,55125
194409,3154
68659,1946
506863,38578
83186,175209
142567,172054
163361,15494
491853,14338
209423,39594
128400,99242
231685,72394
42225,5742
210639,49886
290918,270203
351442,68241
237566,139930
291389,49863
158879,6033
208543,211777
116737,276661
291117,327194
231208,54685
299349,169787
60524,13239
407910,318784
329232,211768
351692,16337
23370,103352
430764,336412
146574,68736
163345,132438
323542,219048
363343,281945
142153,151230
312107,54169
439189,157708
156633,37805
60080,29413
335443,190762
69207,20379
427106,440772
115863,26724
194884,178402
122553,235504
358038,27986
481994,130138
409782,31332
281740,66089
341905,100923
199065,56447
49371,64749
116927,113964
175377,48392
378796,264660
18467,17239
229067,3058
499309,473605
520944,458012
482098,63133
294659,3033
364413,226932
76300,46945
246446,41918
250343,119750
445379,307828
246487,227128
339491,18047
257026,241157
380944,229296
52599,43758
357223,378421
106008,238294
142862,57745
296392,89092
166181,35351
174568,58587
205869,29138
217090,33173
211364,31189
489193,316298
165878,42897
201689,66432
133742,7947
245716,297214
272038,33066
151026,78815
147308,152384
145214,154399
184406,258128
304179,319769
236713,18846
454165,345052
267837,29886
307799,64593
78058,12685
134660,45377
259463,92525
145967,49186
174485,20214
158181,20488
383641,224857
330559,296088
52620,43830
278811,139844
340145,115753
244181,186953
325782,150142
331742,391910
139996,28308
421114,216545
262775,9758
210558,340797
75438,167601
195098,26224
148351,74637
56262,204497
60070,21988
367624,264569
508993,68675
279651,254144
477694,446361
430725,461184
88517,22762
386640,119497
98189,207920
328828,301514
507647,15468
485424,448480
167106,5038
267492,15433
81097,36094
259335,185442
260447,53367
233066,273814
25383,1585
349328,499464
532578,447558
208619,177061
128838,2475
132797,122310
206341,205754
209443,10022
330797,12305
447500,403124
248640,222928
208661,15648
495692,485966
166545,57938
465122,80719
410121,451987
164305,176508
308994,66756
345904,253181
339743,40958
346218,302575
265251,267285
243245,21885
178471,207189
310670,11799
464299,425840
310520,69360
138169,290292
312903,102719
276760,151815
292454,8255
342034,2297
263103,180768
298785,243520
518874,113174
258068,307914
437796,298752
296819,50685
164433,117444
291748,123463
299650,48182
243121,235701
213673,28037
442817,235097
114560,10533
151123,32949
237356,4230
358740,14461
252473,67213
64913,17706
142548,116243
72287,1346
139319,81143
289388,55722
15046,14747
106009,139483
134786,1380
57969,246785
59431,54928
200046,26280
504972,458033
280514,77098
242632,317551
291111,148260
363337,67198
329104,274296
420665,141873
192165,267056
230362,67362
445004,370530
476753,461408
144652,38701
174616,67085
116745,188149
56276,19935
267811,166358
24632,235385
125530,64691
269026,297151
271178,109713
483188,437666
431356,504837
120886,4537
231250,252821
224764,65159
392114,16586
468855,372698
423551,437633
48336,13044
165488,128676
273573,107030
497640,462702
287549,224570
76282,47602
144799,80576
143730,127085
22192,1138
162036,25072
243774,1556
519392,336390
191639,155682
244696,8018
123183,19254
176307,139497
301331,54399
128423,33618
80232,93954
213052,4267
100168,3563
261066,267320
510204,492827
110828,5841
285739,106749
144766,84950
