control_data,treated_data
189199,68157
150795,133091
147312,29989
216273,4506
269023,27783
62175,118129
106116,300495
241466,148593
209466,72591
323530,187128
167680,31092
401423,459236
82621,95733
228760,193983
51967,4829
319964,63208
431978,74609
368481,452711
1826,217274
319805,171230
57978,10557
228369,68905
67444,65314
187530,77467
113325,151634
272637,327665
456186,454811
114470,28717
497931,478000
412707,362091
296169,5082
305125,133107
248165,14505
129788,159317
476669,110305
276839,172413
111577,70504
299682,73502
364438,14919
339749,100863
61312,159336
98118,217165
202244,168302
202446,22420
210752,50952
111484,29373
274926,246089
259628,82748
430789,370307
182481,159587
480005,430087
499246,496003
294746,12947
43575,4391
514859,382090
167742,1313
239511,12593
311239,154397
165524,175107
415397,347813
320560,279891
32863,281820
444808,1257
309951,273414
310708,151728
61583,25490
410666,478376
242151,4668
18343,261349
97909,55510
226755,12607
162043,1310
238795,23915
366938,154454
149053,25845
222895,139491
238026,47496
295485,119244
310788,332355
407212,220200
536341,534471
378787,318569
276997,10151
399784,46365
94438,3507
213577,9922
97033,146336
96170,79916
131287,34588
163584,70395
165016,138433
227838,8410
285776,262588
21240,363926
319880,46220
487059,460458
111473,9346
108448,77217
378523,116671
384944,155663
54948,75319
297774,75602
208535,342394
65721,5824
455176,361070
130561,35800
515318,96024
257723,77040
366877,111302
321503,279605
263072,118112
427048,392856
457963,5381
167803,45083
407203,377915
210081,311126
481378,455749
216143,50289
254410,9408
532421,500146
512445,450225
197531,57133
227923,28654
330557,181797
178023,7088
337116,111139
340380,181888
212340,105441
428582,90887
59566,111755
244781,288676
328733,316268
484961,392878
266658,69475
182159,19830
140166,36139
369908,287626
146371,245436
168512,146253
378931,169409
163862,23302
202549,96536
273094,86494
96095,46456
97434,42653
198308,14141
311529,3126
413513,348004
122414,73827
303096,425619
96346,80225
233586,115686
18978,15243
23554,25655
96792,87859
135693,83545
337486,102697
105298,2893
422494,128053
353515,194055
289626,2285
465068,392926
250805,111254
326538,61264
36176,13906
179130,1541
232279,27533
370347,214841
65710,69474
220552,21825
212749,10129
98158,207867
218063,164766
316216,25396
453311,412831
162213,32675
166171,35346
219841,190811
83295,82546
298195,69834
250067,193531
198522,233405
40986,1113
98126,9537
158804,37766
457167,270148
306151,91571
218700,106892
431735,364090
427177,457455
132763,87866
101153,27325
493340,511176
196873,185674
40902,42705
158854,5988
36303,24173
43344,16298
107249,63524
138847,116326
216675,4193
246562,9699
261201,165490
205142,65305
376261,197762
303840,38244
278491,25862
166605,23506
