wiki_ID,mov_name,year,votes,rating,poster_url,imdb_id
3213691,There Will Be Blood,2007,623350,8.2,/5mH3KQVbTQWyeXSSuxJUcA8UHO4.jpg,tt0469494
5016250,Watchmen,2009,571818,7.6,/arLHbuLpPb1aKKSfDxFatYWQ7Wg.jpg,tt0409459
29446866,In Time,2011,435411,6.7,/cMNktn5TrOkjl5VrQjqskK588Ot.jpg,tt1637688
73488,Frankenstein,1931,77976,7.8,/dPpbYJJ04kHZuUNiV5lBe9CX2Ck.jpg,tt0021884
73375,Bride of Frankenstein,1935,51978,7.8,/qhbTi2Tzuzuh4m4WFsRtn0SrJN8.jpg,tt0026138
144774,Dr. Jekyll and Mr. Hyde,1931,15344,7.6,/vLUE3bD394vSO9wnl5GZKkMLhuJ.jpg,tt0022835
146947,Spider-Man,2002,858002,7.4,/4CydGpnbPCEV1epJlfcBm5QaQyt.jpg,tt0145487
1336308,Sin City,2005,786250,8.0,/f6huR1RQwhbXtQJIIEn9QUvdo7b.jpg,tt0401792
145892,28 Days Later,2002,433917,7.5,/iftUHBwb0lLnFZwLvurr4ak1IsN.jpg,tt0289043
4836072,My Fair Lady,1964,99703,7.8,/ikgrEzNddQiCidWfAqwxdY5UME.jpg,tt0058385
18725026,Zulu,1964,41650,7.7,/dx16J1H1EQ1oHDWxp76s9e7a87p.jpg,tt0058777
22653289,Inherit the Wind,1960,32091,8.1,/pugn3eCjmeMPG9WxzQNTBTdbuRo.jpg,tt0053946
64394,Goodfellas,1990,1222785,8.7,/hjFgvPcQ7KH8fObEacxSO4b0XE9.jpg,tt0099685
3217,Army of Darkness,1992,191068,7.4,/nMk1ZtNieRfiKHo5I3quJ45VRBI.jpg,tt0106308
328344,Arachnophobia,1990,74442,6.5,/kGA2ODHL0ZiVXAC8ICtrRTCuwPc.jpg,tt0099052
20357059,And Now the Screaming Starts!,1973,2982,5.9,/dmr1sMnxHvSo5KoHjjosR4LbDwL.jpg,tt0069715
5531995,The Dead Talk Back,1993,974,1.8,/269eNp0r3wJBNY189K9kJ9KT2qd.jpg,tt0106682
19203309,Ring of Spies,1964,457,6.5,/xx38P3kVIcnr9WxxVnVKvcfTblo.jpg,tt0057458
5015052,Pygmalion,1938,9340,7.7,/26c1dsWsigwXmIR5n5zvitwj0Iu.jpg,tt0030637
