name,status,group_year,movie_id
jim,t,1955,76040
jim,t,1955,10932698
jim,t,1972,3837
jim,t,1972,101910
jim,t,1972,5986686
jim,t,1929,30232904
jim,t,1929,9103993
jim,t,1929,25305145
jim,t,1922,32380519
jim,t,1922,5566075
jim,t,1978,255898
jim,t,1978,103026
jim,t,1978,1412408
jim,b,1947,75266
jim,b,1947,616554
jim,b,1947,6196826
jim,b,1962,6982919
jim,b,1962,11588549
jim,b,1962,209301
jim,b,1934,1635428
jim,b,1934,18158187
jim,b,1934,33567776
jim,i,1999,3642891
jim,i,2011,35795053
jim,i,2001,15224586
jim,i,1990,11923262
jim,i,1996,67427
dorothy,t,1939,561315
dorothy,t,1939,3731053
dorothy,t,1939,24034499
dorothy,t,1952,418598
dorothy,t,1952,7816124
dorothy,t,1959,8901420
dorothy,t,1959,4863014
dorothy,t,1959,15316964
dorothy,t,1976,8711666
dorothy,t,1976,3497365
dorothy,t,1976,24173081
dorothy,t,2010,8031432
dorothy,t,2010,2639650
dorothy,t,2010,17055534
dorothy,b,1927,12857910
dorothy,b,1927,24162182
dorothy,b,1912,6149842
dorothy,i,1996,10958736
dorothy,i,1986,3947
dorothy,i,1999,2302549
dorothy,i,1997,7770667
dorothy,i,1934,61175
frank,t,1954,74011
frank,t,1954,76040
frank,t,1954,76351
frank,t,1977,73875
frank,t,1977,101935
frank,t,1977,1707516
frank,t,1984,267848
frank,t,1984,3947
frank,t,1984,4440277
frank,t,2009,21282769
frank,t,2009,3006708
frank,t,2009,7047921
frank,b,1947,1397142
frank,b,1947,5429235
frank,b,1947,1365310
frank,i,1999,351649
frank,i,2002,23484498
frank,i,2001,31988965
frank,i,1968,13694717
frank,i,2004,12697527
jeffrey,t,1997,29782
jeffrey,t,1997,30575
jeffrey,t,1997,142469
jeffrey,t,2004,1469871
jeffrey,t,2004,5060456
jeffrey,t,2004,10499315
jeffrey,t,2010,28256193
jeffrey,t,2010,31539054
jeffrey,t,2010,35742125
jeffrey,i,1992,20691749
jeffrey,i,1986,3947
jeffrey,i,1990,3557540
jeffrey,i,1993,3318283
jeffrey,i,1984,1882500
beaumont,i,1997,394792
beaumont,i,1986,3947
beaumont,i,1996,515151
beaumont,i,1993,311765
beaumont,i,1987,8897338
ben,t,1956,75264
ben,t,1956,605676
ben,t,1956,3374650
ben,t,1995,54160
ben,t,1995,1632580
ben,t,1995,7770667
ben,b,1962,1917925
ben,b,1962,1335380
ben,b,1962,3110093
ben,b,1978,74830
ben,b,1978,3876620
ben,b,1978,1732917
ben,b,2006,612052
ben,b,2006,4295195
ben,b,2006,2864621
ben,i,2002,1799456
ben,i,2012,35944775
ben,i,2005,3331330
ben,i,2007,12225994
ben,i,2008,34688691
barbara,t,1930,27250874
barbara,t,1930,32944879
barbara,t,1930,35527324
barbara,t,1924,19192121
barbara,t,1958,193854
barbara,t,1958,10068813
barbara,t,1958,24063054
barbara,t,1976,101935
barbara,t,1976,75259
barbara,t,1976,6953611
barbara,t,1917,15130491
barbara,b,1940,61522
barbara,b,1940,960657
barbara,b,1940,20847232
barbara,i,2004,8757507
barbara,i,2001,23242503
barbara,i,1988,1895434
barbara,i,1996,13144612
